idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"<br /><br />When I unsuspectedly rented A Thousand Acres, I thought I was in for an entertaining King Lear story and of course Michelle Pfeiffer was in it, so what could go wrong?<br /><br />Very quickly, however, I realized that this story was about A Thousand Other Things besides just Acres. I started crying and couldn't stop until long after the movie ended. Thank you Jane, Laura and Jocelyn, for bringing us such a wonderfully subtle and compassionate movie! Thank you cast, for being involved and portraying the characters with such depth and gentleness!<br /><br />I recognized the Angry sister; the Runaway sister and the sister in Denial. I recognized the Abusive Husband and why he was there and then the Father, oh oh the Father... all superbly played. I also recognized myself and this movie was an eye-opener, a relief, a chance to face my OWN truth and finally doing something about it. I truly hope A Thousand Acres has had the same effect on some others out there.<br /><br />Since I didn't understand why the cover said the film was about sisters fighting over land -they weren't fighting each other at all- I watched it a second time. Then I was able to see that if one hadn't lived a similar story, one would easily miss the overwhelming undercurrent of dread and fear and the deep bond between the sisters that runs through it all. That is exactly the reason why people in general often overlook the truth about their neighbors for instance.<br /><br />But yet another reason why this movie is so perfect!<br /><br />I don't give a rat's ass (pardon my French) about to what extend the King Lear story is followed. All I know is that I can honestly say: this movie has changed my life.<br /><br />Keep up the good work guys, you CAN and DO make a difference.<br /><br />",LABEL_1,"< bromine/>< bromine/> When I unsuspectedly take A 1000 Acre, I mean I constitute in for an entertaining queen Lear tale and of trend Michelle Pfeiffer constitute in it, so what could locomote haywire?< bromine/>< bromine/> Very apace, notwithstanding, I agnise that this tale constitute about adenine 1000 former thing besides simply Acre. I initiate hollo and couldn' t catch until long after the pic cease. Thank you Jane, Laura and Jocelyn, for add us such a terrifically insidious and compassionate pic! Thank you throw, for constitute imply and depict the character with such profundity and gentleness!< bromine/>< br/> I spot the Angry sister; the fugitive sis and the sister in Denial. I realise the Abusive Husband and why he constitute there and so the founder, oh oh the Padre... all terrifically played. I besides recognise myself and this movie constitute an center- untier, a backup, a prospect to confront my ain trueness and last serve something about it. I truly hope A Thousand Acres has own the same effect on some others out there.< br/>< br/> Since I didn' t understand why the cover said the film was about sisters fighting over land- they weren' t fighting each other at all- I watched it a second time. Then I was able to see that if one hadn' t lived a similar story, one would easily miss the overwhelming undercurrent of dread and fear and the deep bond between the sisters that runs through it all. That is exactly the reason why people in general often overlook the truth about their neighbors for instance.< br/>< br/> But yet another reason why this movie is so perfect!< br/>< br/> I don' t give a rat' s ass( pardon my French) about to what extend the King Lear story is followed. All I know is that I can honestly say: this movie has changed my life.< br/>< br/> Keep up the good work guys, you CAN and DO make a difference.< br/>< br/>",LABEL_1,False,0.8218075037002563,1000
1,"This is the latest entry in the long series of films with the French agent, O.S.S. 117 (the French answer to James Bond). The series was launched in the early 1950's, and spawned at least eight films (none of which was ever released in the U.S.). 'O.S.S.117:Cairo,Nest Of Spies' is a breezy little comedy that should not...repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt (with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe,sexist,homophobe, it's treated as pure farce (as I said, don't take it too seriously). Although there is a bit of rough language & cartoon violence, it's basically okay for older kids (ages 12 & up). As previously stated in the subject line, just sit back,pass the popcorn & just enjoy.",LABEL_1,"This constitute the tardy entry in the long series of films with the French agent, O. S. S. 117( the French answer to James Bond). The series was launched in the early 1950' s, and spawned at least eight films( none of which was ever released in the U. S.).' O. S. S. 117: Cairo, Nest Of Spies' is a breezy little comedy that should not... repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt( with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/ Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe, sexist, homophobe, it' s treated as pure farce( as I said, don' t take it too seriously). Although there is a bit of rough language& cartoon violence, it' s basically okay for older kids( ages 12& up). As previously stated in the subject line, just sit back, pass the popcorn& just enjoy.",LABEL_0,True,0.9936435222625732,185
2,"This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But, I was wrong. First, the weird looping? It was like watching ""America's Funniest Home Videos"". The damn parents. I hated them so much. The stereo-typical Latino family? I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone? I just hated her and had to mention it. Now, the final scene transcends, I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.",LABEL_0,"This pic constitute hence thwarting. Everything seem up-and-coming and I constitute altogether inclined to throw a well sentence. I at least thought I' cholecalciferol constitute able-bodied to digest it. But, I constitute incorrectly. showtime, the Wyrd loop? It constitute like catch"" US' randomness Funniest base video"". The shit parent. I hate them hence often. The stereophony- distinctive Latino kin? I take to talk with the someone responsible for this. We require to make a talking. That little miss who represent ever hang on person? I exactly hated her and own to name it. Now, the final scene transcends, I must say. It' s thusly gloriously speculative and wide of bad that it be a movie of its own. What crappy dancing. Horrible and beautiful at once.",LABEL_0,False,0.8032071590423584,618
3,"I was truly and wonderfully surprised at ""O' Brother, Where Art Thou?"" The video store was out of all the movies I was planning on renting, so then I came across this. I came home and as I watched I became engrossed and found myself laughing out loud. The Coen's have made a magnificiant film again. But I think the first time you watch this movie, you get to know the characters. The second time, now that you know them, you laugh sooo hard it could hurt you. I strongly would reccomend ANYONE seeing this because if you are not, you are truly missing a film gem for the ages. 10/10",LABEL_1,"I constitute unfeignedly and terrifically storm at"" oxygen' buddy, Where graphics 1000?"" The TV storage constitute out of all the picture I constitute design on rental, so so I occur across this. I occur home and as I catch I go enwrapped and ascertain myself laugh away loud. The Coen' randomness throw work a magnificiant movie again. But I mean the 1st time you check this movie, you find to know the reference. The 2nd time, directly that you jazz them, you laugh sooo difficult it could anguish you. I strongly would reccomend ANYONE watch this because if you embody non, you embody really overlook a film gem for the ages. 10/ 10",LABEL_1,False,0.8018285632133484,643
4,"This movie spends most of its time preaching that it is the script that makes the movie, but apparently there was no script when they shot this waste of time! The trailer makes this out to be a comedy, but the film can't decide if it wants to be a comedy, a drama, a romance or an action film. Press releases indicated that Shatner and Hamlin made this movie because they loved the script (what were they thinking?). If you like William Shatner (I do) see ""Free Enterprise"" instead.",LABEL_0,"This pic expend most of its sentence discourse that it constitute the handwriting that nominate the film, but manifestly there constitute no playscript when they dissipate this wastefulness of sentence! The trailer work this out to constitute a funniness, but the movie can' t decide if it require to constitute a comedy, a play, a romanticism or an activity movie. pressing button indicated that Shatner and Hamlin produce this film because they fuck the script( what live they remember?). If you wish William Shatner( I practise) ascertain"" Free Enterprise"" rather.",LABEL_0,False,0.8051087856292725,542
5,"After a very long time Marathi cinema has come with some good movie.This movie is one of the best Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child's eye. Doctor and a relative of his tries to help him in his attempt.<br /><br />The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.<br /><br />This film is really going to touch your hearts.I would expect more Marathi movies to come up with performances like this.",LABEL_1,"After a really foresightful sentence Mahratti celluloid throw occur with some well pic. This pic constitute one of the dependable Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child' s eye. Doctor and a relative of his tries to help him in his attempt.< br/>< br/> The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.< br/>< br/> This film is really going to touch your hearts. I would expect more Marathi movies to come up with performances like this.",LABEL_0,True,0.8882797956466675,267
6,"This is a really sad, and touching movie! It deals with the subject of child abuse. It's really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called ""The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.",LABEL_1,"This constitute a actually lamentable, and touching movie! It deals with the subject of child abuse. It' s really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called"" The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.",LABEL_0,True,0.9916735291481018,139
7,"Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.<br /><br />Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn't have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.<br /><br />One can't help wondering how some people ever were put behind a camera.",LABEL_0,"preceptor' t earnings any attending to the rave recap of this pic hither. It constitute the spoilt avant-garde Damme pic and one of the sorry of any variety I throw e'er ascertain. It would invoke to someone with no profundity whatever who involve zero more than gunshot and explosion to constitute harbor.< bromine/>< bromine/> ascertain that this constitute directed by prick Hyams it own work me agnize that Peter consume no talent as a director, but constitute really serious at take explosions and the alike. notwithstanding, film involve former factor as considerably; for exercise, a tale. This one didn' tonne own one. This might excuse the dreadfulness of some of Mr.. Hyams' more recent cinema, just any near than this one, very.< br/>< br/> One can' t help question how some people ever were place behind a camera.",LABEL_0,False,0.8019137978553772,794
8,"Porn legend Gregory Dark directs this cheesy horror flick that has Glen Jacobs (Kane from WWF/WWE/ whatever it calls itself nowadays) in his cinematic debut. He plays Jacob Goodknight, a blind serial killer who's forte is taking people's eyes out. The plot, be it as it may, has a group of troubled youths cleaning up the historical hotel that GoodKnight resides in and subsequently being offed by him. Hemmingway it's not. Starts of as fun dopey B-movie, but soon gets too tedious to be enjoyable. Glad I went in with pretty low expectations, but even those weren't met. How can you have a porn king directing and still suffer from a lack of nudity??? for shame.<br /><br />My Grade: D- <br /><br />Eye Candy: Samantha Noble bares her ass briefly",LABEL_0,"porno legend Hildebrand shadow channelize this crummy repugnance pic that throw Glen Jacob( Kane from WWF/ WWE/ whatever it hollo itself today) in his cinematic entry. He work Jacob Goodknight, a unsighted nonparallel orca who' s metier constitute choose multitude' s center away. The game, constitute it as it may, throw a grouping of tumultuous youthfulness pick upward the diachronic hotel that GoodKnight domiciliate in and later constitute dispatch by him. Hemmingway it' s non. showtime of as sport dopey barn- film, but shortly catch likewise slow to live pleasurable. Glad I operate in with pretty broken anticipation, but still those weren' tonne fulfill. How can you deliver a porn king directing and however have from a deficiency of nudity??? for shame.< br/>< br/> My grad: ergocalciferol-< br/>< br/> Eye confect: Samantha Lord bare her As briefly",LABEL_0,False,0.8011842966079712,779
9,This was a great movie. Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child. The performances by S Eptath was outstanding. Mos Def and his singing was off the hook. Had to do a double take when I saw that was Rosie Perez there. But the supporting cast of actors and actresses made this worth watching. All the different stories they had was amazing. And how Nanny protected Jr and literally everyone else that was in her presence. I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone. Cant wait for it to come out on DVD. It would be a welcome addition to any movie library.,LABEL_1,This constitute a expectant movie. Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child. The performances by S Eptath was outstanding. Mos Def and his singing was off the hook. Had to do a double take when I saw that was Rosie Perez there. But the supporting cast of actors and actresses made this worth watching. All the different stories they had was amazing. And how Nanny protected Jr and literally everyone else that was in her presence. I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone. Cant wait for it to come out on DVD. It would be a welcome addition to any movie library.,LABEL_0,True,0.9889062643051147,166
