original,adversarial,original_label,final_label,success,queries
"Nightclub rating only...\n\nWe got lucky because we happened to arrive during Kris Humphries' (new husband of Kim Kardashian) bachelor party.\n\nI also saw Jordan Farmar, Lamar Odom and Scott.\n\nPlace was packed on a Saturday night and we didn't want to wait in line so we did bottle service. Cost us $575 total for 5 guys and we got grey goose and our choose of drinks.\n\nYou don't get your own VIP booth - you actually get to sit on a long couch and you get a small section along with the other bottle service people.\n\nOverall pretty cool club, but I think it's pretty small compared to others like XS, Marquee, JET, and Pure.","Nightclub rating only...\n\nWe got well-off because we leave out dead to get during bend Humphries' (new married man of Kim Kardashian) Johann Sebastian Bach party.\n\nI to a fault paid attention Jordan River River Farmar, Lamar Odom and Scott.\n\nPlace evergreen plant industrial plant aver offence consortium on A Sabbatum Night and we didn't trustingness to waitress In stock air thus we wrangling wet-nurse bottle service. equipment casualty uranium $575 tot up up for five jest atomic number 85 deport wire and we overtake grey-headed slit and our violate astir proscribe of drinks.\n\nYou don't get your provoke high school upwards muckamuck digest - you genuinely putting surface goods to posture along antiophthalmic factor in forbidden prospicient put option option and you pressure antiophthalmic agent pedestal discussion section along with the sometime flow suck bottle service people.\n\nOverall pretty feeble pile club, only 1 hazard it's somewhat meek liken to others like XS, Marquee, JET, and Pure.",1,0,True,985
"Absolutely atrocious service, while there were only three tables of customers at 7pm on a Saturday night.  To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks & food.  On the plus side, the food was fine and arrived quickly (even before the chips and salsa appetizer?).","perfectly serious service, while there be only three get on of lymph lymph node at 7pm along a Saturday night. To top it off, the surmount of ceremonial occasion lively a fresh constituent of grass when, after along xv Taiwanese of arch of his trunk MIA, we feel into vitamin vitamin A to his whereabouts when we aid to bless more than fuddle & food. along the addition side, the whole intellect victuals incarnate exquisitely and come in quickly (even in front the break off and salsa appetizer?).",0,1,True,535
"Worst customer service ever.  While some things that went wrong were out of their control, this so called \""""business\"""" was completely unprepared.  It was obvious you were trying to increase your margins by cutting corners to cut costs across the board.  1ns did not tender the service which everyone paid for.  Johnathan's excuse for basically making eveyone's weekend uncomfortable and unstable, \""""It's our first time doing this.\"""" This business is a joke.  Not only that, when we get on the bus for the trip back to LA, eveyone was offered a $50 refund for transportation.  Then when he found out they got a charter bus, he took the paper back and said nevermind...WTF is that? If anything I should be refunded for the multiple nights I had to pay to get back from EDC. your ONE yellow shuttle was no where to be found.  Everyone also basically lost their whole friday because the shitty fucking bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they've never heard of 1nsgroup.  They might have been fixed after, but it was still embarrassing.  SO MANY OTHER THINGS that I haven't mentioned.  Please fellow people who went through hell because of 1ns, add whatever I forgot below.  I plan to report them to the according consumer bureaus.",Failed to initialize,0,,False,1001
"L.A. people are so spoiled with wonderful sushi restaurants at nearly every corner - I'm one of those people. But I have to say that Roka Akor has blown most of the L.A. sushi restaurants I've been to out of the water. I don't always rate the restaurants I eat at for various reasons, but I couldn't wait to rate this restaurant. You'll see why...read on please.\n\nRoka Akor is rated as one of the Top 10 sushi restaurants in the U.S. by Bon Appetit, so with that rating plus being from L.A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu. (Of course this didn't matter later once we tasted their food - everything is excellent. Don't let this disappoint you, it's excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn't been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I'm nice, but I'm accustomed to excellent service at all types of establishments. When I don't get it, I get pissed off - that's just who I am and I don't think I'm the only one.\n\nI digress...\n\nI'm glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself...and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer - the Butterfish Tataki with white asparagus yuzu. (Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor - I think that's just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor - very delicious.\n\nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors - I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of (the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn't like salmon because he thinks it's too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who's ever heard of a Green Tea flavored custard? It did not disappoint. Light & airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\n\nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp'd part of our meal. So here's how I came up with the score:\n\n5 for the food, knowledgeable wait staff and nice ambiance\nminus 2 for the huge f*ck up early in the evening\nplus 2 for the apology\nminus 1 for not comping part of our meal\n= 4 (if we could rate in half points, I'd probably give them 3 1/2)\n\nFinal thought: I don't know why we didn't get approached by the wait staff as quickly as the other couple who was seated after us, but I don't believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!","L.A. people are so spoiled with wonderful sushi restaurants at some every act ended signal - I'm unmatchable of those people. only unmatched imbibe to order that Roka Akor hour pitch petrol nigh of the L.A. sushi exhaust household I've make to forth of the water. iodine don't eternally esteem the give contract of the zodiac I rub stunned at for several reasons, plainly integrity couldn't support back culture remove to property this restaurant. You'll see why...read on please.\n\nRoka Akor cost white shell white A unity and only of the capital tenner sushi restaurant in the the submit digression Bon Appetit, and then with that paygrade irrefutable make from L.A., we peer unquestionably anticipate deoxyadenosine monophosphate lot. We be find warmly, enthrone rapidly at the good hind last atomic number 85 the sushi bar, and complaint in our menus. We crush A gander, and be form of aghast atomic turn eighty-five the down border fill of rolls along their menu. (Of course this didn't issue old former we probe their crippled food for think - everything interpret excellent. Don't profits lump this disappoint you, it's fantabulous food.) A whole few minute of crouch later, nuclear number 53 wish some other pair arse A few invest component away from us. Their waitress number to to them flop away, and we unhurt the exchangeable hadn't impairment citation to at that point, therefore single shuffling upwards straight cancelled get at murder and instigate to pass of spirit out of the restaurant. My Friend public Health organisation lie with ME well, part of butt that this fulfil would pop slay done interpret true to form. I'm nice, but I'm employment to fantabulous benefactor at altogether type of establishments. When unity don't stick it, single pay turned withdraw dowse cancel - that's just who 1 body forth and peerless don't cerebrate I'm the altogether one.\n\nI digress...\n\nI'm corpus sternum my splice military serviceman understanding yearn corner tell invest to unresolved the waiter A take in to get atomic number 49 altogether altogether terminated and support to our order because undivided terminate upwards really flavor myself...and the solid nutrient for cerebration for imply obviously. We convert aside setback give the sack giving birth deoxyadenosine monophosphate smack quizzer of Shochu drinks, which personate these sonsy strike hard upward drinks. Our darling evergreen plant industrial plant postulate incision the Fujiyama genus genus Malus pumila flavor, although vaunt corps de ballet of them represent good. atomic exit 85 the Lapp prison term we produce upward up ravisher advance upward our starter - the genus genus genus Pholis gunnellus Tataki with Elwyn endure T. H. Edward VI lily-white edible asparagus officinales officinales yuzu. (Incidentally, the Fujiyama ruby genus genus genus Malus pumila Shochu unfeigned count on base knocked out the life-time of the stromateid fish Pisces Fish the Pisces the Fishes Tataki.) ordinarily genus genus genus Pholis gunnellus cast caseful antiophthalmic constituent muzzy love - single view that's lonesome the nature of that fish, just when their preparation of this Pisces the Fishes the fish the angle grand salvage star sign selective data engineer skill up. selective entropy mastermind scientific discipline spoil on the fence digression with enjoy - authentically delicious.\n\nWe in any eccentric beat the Hamachi Serrano Republic of Chile Maki. This range ascertain undistinguishable exuviate calorie-free along savour - ace informal prison guard information practice skill very much. adjacent start up come out along the Roka Sushi selection, which harm quaternary unlike courting of sushi memorize past the chef. My alone qualm Here bread and butter Associate in Nursing optic along that virtuoso of the superficial Joe nigiri flow pick apart KO'd be something we too allow vitamin antiophthalmic component tolerant rescript of (the pink-orange Goma Nigiri). Nonetheless, wholly of information mastermind scientific discipline evergreen plant implant instal state good. after along on that come the full order of pinkish-orange River River Goma nigiri we ordered, which chair Washington sooooooo colloidal break good. My conserve commonly doesn't like pink-orange River because helium fate it's as well fishy, small-arm angiotonin change enzyme commonly businesslike salmon. We both Trygve Halvden rest with adulterate individual axerophthol track down fun miserable atomic total eighty-five datum organise skill do data engineering science this. datum mastermind exist and therefore excellent. unrivaled would inbound nigger curve data point applied science scientific discipline again. Finally, we m the kobe beef, which hold out amp intimately identical good. dead smother farseeing court inflated and slew of flavor. information applied science skill get along drink down upwards with mushroom-shaped obscure dapple which aggregate angstrom unit unit of measurement with electrocute lesson hacek back impression to the meat, and this delectable creamy sauce Hoosier ray publica which to diva the meat. Delicious. For dessert, we shake the cast diazepam camelia sinensis Custard. We absolute this broadly speaking out of curiosity. Who's constantly calculate of vitamin aggroup ampere well-nigh veg anele just good afternoon good afternoon Camellia sinensis flick hell dust custard? information orchestrate grapple not disappoint. hawk-eyed & airy, this custard rightfully inculcate us. unmatched exclusive gibe wizard strike upwardly inward the melanize come-on because information implement science transport supervise sol yummy and late yelpers take to column inch utter bump off Thomas More Oregon to a lesser extent it, only Buckeye State well. possibly neighboring time.\n\nAfter the meal, our horde justify for the heist we know earlier in the evening. unity really apprise and pureness that. selective information engineering George Washington by all odds case ampere hotshot displace on his part, and He invest A social unit good pencil jumper lead tabu of it. Later, though, iodine remember that if they eubstance indium true statement no-good they could bewilder comp'd theatrical performance part of our meal. soh here's how ane infer upward with the score:\n\n5 for the food, midazolam clip fall behind stave in and puritanical ambiance\nminus II for the Brobdingnagian f*ck improving betimes along inward the evening\nplus II for the apology\nminus one for not comping vocalisation of our meal\n= IV (if we could tread Hoosier State half points, I'd belike leave them trine 1/2)\n\nFinal thought: ane don't chouse wherefore we didn't get approaching aside the calculate stave in angstrom unit chop-chop angstrom the sometime duad World Health Organization live initiate afterwards us, only unity don't think that multitude should keep muted about thrust alike that. When you pay off for anything at any amount, you should be contribute the in effect divine service potential and if not, the governance should anticipate to contend with the consequences for their actions. So, prevent it up Yelpers! use of goods and services your consumer power!!",1,0,True,6820
"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for only the chicken and cornbread. \nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got \""""the last of it,so enjoy\"""". And no chicken. \nGood atmosphere.",N/A,2,1,Skipped,0
"This was the worst service EVER. Especially with Melissa at the counter.\n\nI called 3 times before going down there to make sure that I had everything  I needed  to rent the car. I walked down to their office and had all the paperwork they asked me for and my DEBIT card, which they said they accepted. I showed up and had to wait for her to finish her conversation about going out the night before before she helped me. When she finally turned around and asked how she could help me, I gave her my driver's license and my card and she turns to me and says sorry we can't rent to you using this card, gives me back my card, and turns around to continue talking to her coworker. She did not even tell me why we could not use my card or any other card. I have a credit card, I have other debit cards, but she did not even bother asking me if I wanted to use another card, instead, she just turned around, and continued gossiping. Even if she would have said sorry, can't take this card, do you have another? I would have been ok with it but she was too busy with more 'important' matters. Rude and no way to keep customers. \n\nI left there and just rented at Enterprise. Yes, they were a little bit more, but honestly, it is worth the extra amount if anything just for their service.\n\nWill never make another reservation with them, no matter how good of a deal it is.","This merry the inquisitive service EVER. specially with genus genus genus Melissa at the counter.\n\nI cry away trio beat onward free master there to take sure that I bear everything unity exact to lead the car. ace take the aura raven to their spot module and final ballock totally the paperwork they look into ME for and my debit entry launching card, which they fiat they accepted. undivided eternize astir and know to handicap for her to geartrain her conversation to the highest degree popular by the night ahead before she tending me. When she atomic number 85 foresightful level best ricochet up shine and yield how she could informality me, tops establish her my driver's Army of the Pure and my gameboard and she modus operandi to Pine Tree State and vocalise goldbrick we can't tour of duty of duty to you habituate this card, sound off IN true pine Tree province sens my card, and bend but surgery sol to carry along beauty to her coworker. She fulfill non even out come out render true pine Tree province why we could non handling my instrument board surgery any betimes card. atomic numerical 53 lodge vitamin amp key card, exclusive give bear previous debit entry launching cards, but she ut not eve nix couch stunned choose Maine if adept send for for to custom another card, instead, she expert spring around, and traveling gossiping. eve if she would interpret transform sorry, can't shoot this card, stage you situated away another? unity would ample soul represent all right with it only she bodied as well finicky with Seth Lowell Thomas More than 'important' matters. congenital and nobelium fashion to keep customers. \n\nI remnant there and upright piano softly hitch atomic number 85 Enterprise. Yes, they number deoxyadenosine monophosphate gab bite more, fair honestly, info applied science personify worth the supererogatory come if anything funfair for their service.\n\nWill ne'er pee another hold with them, no subject how near of a deal it is.",0,1,True,2339
"I was waiting for my friend to show up for a concert across the street, and decided to get a quick bite to eat. I always see this place and decided why not. \n\nBig mistake. I walked in and sat at the counter. I had to ask for the counter to be cleaned/wiped, and still ended up wiping it again myself after they finished. Then it took a few minutes before i was greeted. After placing my order, I waited and waited. \n\nOnce the order came, that was the final disappointment. The home fries, were under-cooked. I asked for cheese on them, and they added a few sprinkles of finely shredded cheddar. They barely let the cheese melt. The sausage was ok.  The bacon was 2 teeny weenie strips that appeared to be under-cooked also. \n\nOverall disappointing experience!",Failed to initialize,0,,False,1001
"I am yet to try the massage at Spa st. James \nBut I have been there over five times for facial, eyebrow threadings and manicures/ pedicures\n\nUpon arrival you will be ushered to go two stories up after taking off your shoes ( you have a chair to sit on which is a big plus for places in montreal) and given flimsy slippers that you will find hard to keep them on while going up the stairs ( better take them off) \nThe waiting area is cool with the brick walls, magazines and the lemon water on offer however the biggest disappointment is the quality of the treatments that are on offer. \nI have tried the manicures several times in there trying to find the best manicurist but none of the therapists are great \nThe Russian therapist can hardly smile and thinks you can't ask her to shape your nails they way you prefer (she knows better than you think) and she is not open for any suggestions!!! \nThe other two will keep you busy with their sweet talks about their boyfriends and life events to distract you from the bad job they are doing \nThe facial which is done by a lady who does the manicure and the bikini wax ( which I think is gross) is average \nThe only thing I really find it good is the eyebrows threading done by a Turkish therapist who only works two, three times a week and it is hard to get a convenient appointment we her most of the time \n\nPrice wise it is very expensive and treatments are not good ( I am a trained professional myself so I can tell when things are done properly)","I am yet to try stunned the buck realm at Spa st. king pack \nBut I get follow in that reward perfect Phoebe time for facial, hilltop threadings and manicures/ pedicures\n\nUpon signature you will be show to go ii fib up after pickings off your horseshoe ( you stimulate a chair to mount daddy along which live a large rundown for arrange edge montreal) and bestow tenuous skidder that you testament showdown heavily to preserve them along while run humble up the step ( advantageously top them off) \nThe hunting orb be cool with the brick walls, powder investment trust and the lemon make on proffer stock-still the big letdown match the carry of the treatments that personify along offer. \nI wealthy person rendering the manicure versatile clock Indiana there essay to discovery the Jacques Charles Herbert easily manicurist exclusively none of the healer name swell up \nThe Russian healer throne just smiling and caliber you can't involve her to spring your voyage through and through they dart you favour (she lively honest than you think) and she touch non opened for whatever suggestions!!! \nThe later deuce leave bear on you busy with their scented tattle kayo but nigh their clotheshorse and aliveness pillow berth to distract you from the wild cark they consistence clear \nThe facial nerve mettle brand meat which comprise help asunder vitamin A gentlewoman man rush along wellness organization execute the manicure and the bikini suit full ( which atomic sound come fifty-three guesswork embody gross) symbolise ordinary \nThe only matter nuclear earphone number liii identical semen up info engineering science estimable make up the brow necessitate inbound quick away vitamin A Turkish healer who single run two, trey multiplication A calendar week and it accompany rest to shoot out vitamin group A convenient outfit we her to the highest degree of the megabyte \n\nPrice freshly it is really expensive and word body not good ( ace be a trained professional myself so I can distinguish when matter ar fare properly)",0,1,True,2745
"High expectations meet reality.\n\nAnd please someone change that $$ to $$$.\n\nService was so-so, with weak recommendations from the waitress.  Here's what we ordered:\n\n- Escargots de Bourgogne (oven-roasted snails, garlic-herb butter) - pretty good\n\n- Housemade Country Pate (cornichons, whole grain mustard, warm country bread) - a LOT of pate, too little bread, I liked this dish, but talk about disparity b/t the two.\n\n- Chicken Liver Mousse (burgundy red wine mustard, toasted brioche) - same as above, with respect to mousse to bread ratio - too much mousse, too little bread.  I was looking forward to this dish, but that burgundy red wine mustard is just nasty and overpowering), pass!\n\n- Sea Scallops Gratinees (caramelized fennel & onion marmalade, mussel cream) - thin scallops that were tasty, but surrounded by too much cheese.  Should have gone with the entree version instead, sigh...\n\n- Rack of Lamb Special - overpowering mustard sauce on the lamb that was just unpleasant.  The lamb was tender and the au jus was tasty.  Excise the sauce and it is  tasty, but $36 worth of tasty?  No.\n\n- Creme Brulee - this was the best dish of the night, nice and creamy with the right thickness to the sugary top.","spirited world-class second physical contact reality.\n\nAnd pleasure deadly genial that $$ to $$$.\n\nService Evergreen reticuloendothelial system publica so-so, with rachitic soundly give-and-take from the waitress. Here's what we ordered:\n\n- snail rhombus province Burgundy (oven-roasted snails, garlic-herb butter) - jolly good\n\n- Housemade Re publica tip (cornichons, totally grain mustard, manly rural surface area bread) - antiophthalmic cistron stake of pate, to amp geologic defect overhaul water bread, atomic number liii manage intimately this dish, just peach surgery indeed disparity b/t the two.\n\n- chickenhearted liver-colored haircloth gel (burgundy fortunate wine mustard, toast brioche) - Sami American Samoa above, with observe to colloidal gel to kale ratio - also loads mousse, also lounge bread. single touch chest onward to this dish, only that Burgundy blush wine native American English Indian mustard be just piano charge and overpowering), pass!\n\n- sea cutlet Gratinees (caramelized commons common fennel & onion works marmalade, mussel cream) - cut cutlet that vestige tasty, just skirt by A easily adenine good quite a little cheese. Should sportsman guide with the addition interlingual interpreting instead, sigh...\n\n- agony of Charles River Elia special - tangle inch completely complete flip mustard sauce along the heartfelt that lively exactly unpleasant. The Charlemagne unity Charles Charles Lamb George Booker Taliaferro Washington sound affectionate and the gilt jus last tasty. scratch taxation enhancement the sauce and it consist tasty, simply $36 worth of tasty? No.\n\n- Creme Brulee - this travel along the intimately ravisher of the night, skillful and creamy with the right on heaviness to the sugary top.",0,1,True,1678
"Have to say I have passed this several timds and really excited to finally try it! So sadly disappointed! The pulled pork was decent but the brisket was very fatty and swimming in oil (grease). The mac n cheese was horrible! Dry, almost no cheese and old like I got the last scoop of the night! Cole slaw was more like a bowl of cabbage. No flavor at all and dry!! No sauce or dressing at all! This place is mostly popular at lunch and maybe the food is better then but NOT for dinner!! Really sad to print this......sorry won't be returning or recommending! Price way too high for this low quality :(",Failed to initialize,0,,False,1001
