original,adversarial,original_label,final_label,success,queries
"unpretentious , charming , quirky , original","unpretentious , pr , quirky , original",1,0,True,40
"a film really has to be exceptional to justify a three hour running time , and this isn't .",Failed to initialize,0,,False,1001
working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the suitability you'd expect in such a potentially sudsy set-up .,1,0,True,58
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing contract it rathole clingy .",1,0,True,144
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry ayala kneel sure of where it should go .",0,1,True,80
the lead actors share no chemistry or engaging charisma . we don't even like their characters .,the lead actors share no jailed or insecure charisma . we don't deviled elderberry their characters .,0,1,True,263
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we rightfully to wonder if some unpaid intern had just cardigan 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like centerpieces fantastical .",0,1,True,131
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",Failed to initialize,0,,False,1001
marinated in clichés and mawkish dialogue .,pioneer in clichés and mawkish dialogue .,0,1,True,41
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,N/A,neg,pos,Skipped,0
"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .","it has the right approach and the right opening premise , but it lacks the lunatic and it goes for a plot twist respectful of trusting the material .",0,1,True,154
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the providential with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,1,True,240
"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese profound utterly with jubilee shots of soundly training commenting on the monster's path of destruction .",0,1,True,204
there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,N/A,neg,pos,Skipped,0
