ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
0,the whole talking-animal thing is grisly .,the whole talking-animal thing is mournful .,the whole talking-animal thing is mournful .,83,True
1,"very much a home video , and so devoid of artifice and purpose that it appears not to have been edited at all .","very much a home video , and so fearlessly of artifice and purpose that it appears not to have been edited at all .","very much a home video , and so fearlessly of artifice and purpose that it appears not to have been edited at all .",437,True
2,"don michael paul uses quick-cuts , ( very ) large shadows and wide-angle shots taken from a distance to hide the liberal use of a body double ( for seagal ) .","don michael paul uses quick-cuts , ( very ) large shadows and wide-angle marksmanship taken from a distance to hide the liberal use of a body double ( for seagal ) .","don michael paul uses quick-cuts , ( very ) large shadows and wide-angle marksmanship taken from a distance to hide the liberal use of a body double ( for seagal ) .",72,True
3,a genuine mind-bender .,a authenticity mind-bender .,a authenticity mind-bender .,2,True
4,"it's hard to pity the 'plain' girl who becomes a ravishing waif after applying a smear of lip-gloss . rather , pity anyone who sees this mishmash .","it's tremendously to pity the 'plain' girl who becomes a ravishing waif after applying a smear of lip-gloss . rather , pity anyone who sees this mishmash .","it's tremendously to pity the 'plain' girl who becomes a ravishing waif after applying a smear of lip-gloss . rather , pity anyone who sees this mishmash .",666,True
5,a porn film without the sex scenes .,a porn film without the sex scenes .,a porn film without the sex scenes .,196,True
6,"standing in the shadows of motown is the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .","standing in the shadows of motown isnt the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .","standing in the shadows of motown isnt the best kind of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow .",299,True
7,"while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system .","while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it fails as a powerful look at a failure of our justice system .","while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it fails as a powerful look at a failure of our justice system .",414,True
8,"nothing happens , and it happens to flat characters .","nothing happens , and it happens to appart characters .","nothing happens , and it happens to appart characters .",198,True
9,[an] absorbing documentary .,[an] absorbed documentary .,[an] absorbed documentary .,3,True
10,the world needs more filmmakers with passionate enthusiasms like martin scorsese . but it doesn't need gangs of new york .,---,---,0,False
11,"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .","even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .","even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm .",540,True
12,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too discouraging to let slide .,786,True
13,"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .","the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does pas do them justice .","the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does pas do them justice .",1,True
14,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly enjoyable .,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that isnt surprisingly enjoyable .,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that isnt surprisingly enjoyable .,54,True
