idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"unpretentious , charming , quirky , original",LABEL_1,"charming, witty, charming, original",LABEL_1,False,0.8571279644966125,16
1,"a film really has to be exceptional to justify a three hour running time , and this isn't .",LABEL_0,"every movie sometimes needs really fucking good or sustain some two hours run long, but it wasn' not.",LABEL_0,False,0.75717693567276,37
2,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,LABEL_1,working from a surprisingly sensitive script co- written by gianni romoli... ozpetek provides most of the pitfalls you' d expect in such a potentially sudsy set- up.,LABEL_0,True,0.9906625747680664,29
3,"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",LABEL_1,"it might also been entirely successful, and this movie' the crisp, realistic imagery or blend for contemporary action found it particularly appealing.",LABEL_1,False,0.7507046461105347,58
4,"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",LABEL_0,"such a plot is ripe for all kinds of situations, but kaufman and kaufman still seem sure of where it should go.",LABEL_1,True,0.7905412912368774,36
5,the lead actors share no chemistry or engaging charisma . we don't even like their characters .,LABEL_0,these main characters are either personalities and artistic abilities. it doesn' no particularly appreciate our acting.,LABEL_0,False,0.7872553467750549,33
6,"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",LABEL_0,"you had never guess that a new intern was actually typed' chris rock,'' harry potter' or' others' onto a computer- operated machine already.",LABEL_0,False,0.7617307901382446,73
7,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",LABEL_0,"some words seem strong, and so often, the narrator is deeply puzzled by the nature of the delivery.",LABEL_1,True,0.7633107900619507,44
8,marinated in clichés and mawkish dialogue .,LABEL_0,marinated in funny and mawkish dialogue.,LABEL_1,True,0.8862596750259399,8
9,an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,LABEL_1,the uneasy blend with running- of- a- mill good humor. almost sincere sexual experience.,LABEL_1,False,0.7629525661468506,54
10,"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .",LABEL_0,"it has the right approach and the right opening premise, but it has the zest and it goes for a plot twist instead of trusting the material.",LABEL_1,True,0.9938383102416992,29
11,"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",LABEL_0,"this movie... the most post- modern movie: how could we had wanted it?? an issue within this work asks if my actions, particularly of myself, constitute any true depiction for a death simulation for auschwitz--..",LABEL_0,False,0.7703532576560974,89
12,"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .",LABEL_0,"like always happens, monster wars has this typical, similarly animated appearance as all 1959 films, yet includes portions with some typical godzilla scene featuring several images from aaron ward lying upon a godzilla' d verge for defeat.",LABEL_0,False,0.7649889588356018,81
13,there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,LABEL_1,there is more than one joke about putting the toilet seat down. but that should give me what we need to know about all the queen' s men.,LABEL_0,True,0.9886606335639954,34
14,"fails in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",LABEL_0,"but with getting a movie memorable, with being in her role, of showing that... even after this end, this character becomes increasingly weak from their protagonist, of which time she finds difficult without care.",LABEL_0,False,0.7775765657424927,85
15,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,LABEL_0,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly still be emphasized enough.,LABEL_1,True,0.9868016839027405,24
16,a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,LABEL_1,"another beautiful but personal story about differing worlds, some complicated parent/ child relationships.",LABEL_1,False,0.7629225254058838,35
17,"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",LABEL_0,"they' re like some"" big chill"" parody for this karl- meinhof gang, where these thugs confuse worse ordinary folks for serious ones.",LABEL_0,False,0.7764986753463745,75
18,"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .",LABEL_0,"what follow are much bone- chilling, mass drug- related blood fest, and none- too- funny reflections on the fundamental difference of us and you.",LABEL_1,True,0.5914756059646606,43
19,"director lee has a true cinematic knack , but it's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve .",LABEL_1,"bruce usually has a nice directorial sense, but it' s really hard to see a person in its heart so completely, practically on its feet.",LABEL_0,True,0.5842330455780029,50
