ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
0,it 's a charming and often affecting journey . ,it 's a charming and seldom affecting journey .,it 's a charming and seldom affecting journey .,12,True
1,unflinchingly bleak and desperate ,unflinchingly thriving and desperate,unflinchingly thriving and desperate,33,True
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,allows us to hope that nolan is poised to embark a major career as a commercial despite inventive filmmaker .,allows us to hope that nolan is poised to embark a major career as a commercial despite inventive filmmaker .,135,True
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound werent all astounding given the production 's austere locales .","the acting , costumes , music , cinematography and sound werent all astounding given the production 's austere locales .",143,True
4,"it 's slow -- very , very slow . ","it 's slow -- very , nicely slow .","it 's slow -- very , nicely slow .",20,True
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",588,True
6,a sometimes tedious film . ,a sometimes daunting film .,a sometimes daunting film .,58,True
7,or doing last year 's taxes with your ex-wife . ,or doing intoxicates year 's taxes with your ex-wife .,or doing intoxicates year 's taxes with your ex-wife .,35,True
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to appreciate the film 's easygoing blend of sitcoms and romance .,you do n't have to know about music to appreciate the film 's easygoing blend of sitcoms and romance .,68,True
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .",833,True
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,441,True
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to ziv the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .","it takes a strange kind of laziness to ziv the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",494,True
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film enjoyin from a lack of humor ( something needed to balance out the violence ) ...,... the film enjoyin from a lack of humor ( something needed to balance out the violence ) ...,204,True
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to appalling .","we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to appalling .",12,True
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie manque both thrills and humor .,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie manque both thrills and humor .,102,True
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .","a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .",540,True
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emotions are crapola and will strike a nerve with anyone who 's ever had family trauma .,the emotions are crapola and will strike a nerve with anyone who 's ever had family trauma .,71,True
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that shallower her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .","audrey tatou has a knack for picking roles that shallower her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .",321,True
18,... the movie is just a plain old monster . ,... the movie is just a unique old monster .,... the movie is just a unique old monster .,56,True
19,"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a decent high school production of grease , without benefit of song .","in its best moments , resembles a decent high school production of grease , without benefit of song .",68,True
20,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an lopsided tone that you never know when humor ends and tragedy begins .","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an lopsided tone that you never know when humor ends and tragedy begins .",99,True
21,the iditarod lasts for days - this just felt like it did . ,the iditarod lasts for days - this just felt like it do .,the iditarod lasts for days - this just felt like it do .,7,True
22,holden caulfield did it better . ,---,---,0,False
23,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delectable and intriguing thriller filled with surprises , read my lips is an original .","a delectable and intriguing thriller filled with surprises , read my lips is an original .",441,True
24,seldom has a movie so closely matched the spirit of a man and his work . ,hardly has a movie so closely matched the spirit of a man and his work .,hardly has a movie so closely matched the spirit of a man and his work .,5,True
25,"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to excel romantic comedy .","nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to excel romantic comedy .",6,True
26,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is aswell tenuous to anchor the emotional connections that purport to span a 125-year divide .","the action switches between past and present , but the material link is aswell tenuous to anchor the emotional connections that purport to span a 125-year divide .",198,True
27,it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat passe that pokes fun at the democratic exercise while also examining its significance for those who take part .,it 's an offbeat passe that pokes fun at the democratic exercise while also examining its significance for those who take part .,507,True
28,"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter movie , a cut-and-paste works .","it 's a cookie-cutter movie , a cut-and-paste works .",83,True
29,i had to look away - this was god awful . ,i had to look away - this was god bleh .,i had to look away - this was god bleh .,19,True
30,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .","thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .",735,True
31,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' rather provokes a handful of unintentional howlers and numerous yawns .","... designed to provide a mix of smiles and tears , `` crossroads '' rather provokes a handful of unintentional howlers and numerous yawns .",148,True
32,"a gorgeous , witty , seductive movie . ","a gorgeous , witty , seductive movie .","a gorgeous , witty , seductive movie .",196,True
33,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the gratitude of god , ' it is far too self-conscious to draw you deeply into its world .","if the movie succeeds in instilling a wary sense of ` there but for the gratitude of god , ' it is far too self-conscious to draw you deeply into its world .",89,True
34,"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself , it has no sense of humor ... it 's just plain entertaining .","it does n't believe in itself , it has no sense of humor ... it 's just plain entertaining .",206,True
35,a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of insane shoot - 'em - up scenes .,a sequence of insane shoot - 'em - up scenes .,155,True
36,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation whoremonger .","the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation whoremonger .",149,True
37,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is long on the thrills the oversize medium demands .","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is long on the thrills the oversize medium demands .",99,True
