idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"Nightclub rating only...\n\nWe got lucky because we happened to arrive during Kris Humphries' (new husband of Kim Kardashian) bachelor party.\n\nI also saw Jordan Farmar, Lamar Odom and Scott.\n\nPlace was packed on a Saturday night and we didn't want to wait in line so we did bottle service. Cost us $575 total for 5 guys and we got grey goose and our choose of drinks.\n\nYou don't get your own VIP booth - you actually get to sit on a long couch and you get a small section along with the other bottle service people.\n\nOverall pretty cool club, but I think it's pretty small compared to others like XS, Marquee, JET, and Pure.",LABEL_1,"Nightclub rating only...\ o\ nu got lucky because we happened to arrive during Kris Humphries'( new husband of Kim Kardashian) bachelor party.\ n\ nI also saw Jordan Farmar, Lamar Odom and Scott.\ n\ nPlace was packed on a Saturday night and we didn' t want to wait in line so we did bottle service. Cost us$ 575 total for 5 guys and we got grey goose and our choose of drinks.\ n\ nYou don' t get your own VIP booth- you actually get to sit on a long couch and you get a small section along with the other bottle service people.\ n\ nOverall pretty cool club, but I think it' s pretty small compared to others like XS, Marquee, JET, and Pure.",LABEL_0,True,0.9979364275932312,126
1,"Absolutely atrocious service, while there were only three tables of customers at 7pm on a Saturday night.  To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks & food.  On the plus side, the food was fine and arrived quickly (even before the chips and salsa appetizer?).",LABEL_0,"Absolutely great service, while there were only three tables of customers at 7pm on a Saturday night. To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks& food. On the plus side, the food was fine and arrived quickly( even before the chips and salsa appetizer?).",LABEL_1,True,0.8805704116821289,69
2,"Worst customer service ever.  While some things that went wrong were out of their control, this so called \""""business\"""" was completely unprepared.  It was obvious you were trying to increase your margins by cutting corners to cut costs across the board.  1ns did not tender the service which everyone paid for.  Johnathan's excuse for basically making eveyone's weekend uncomfortable and unstable, \""""It's our first time doing this.\"""" This business is a joke.  Not only that, when we get on the bus for the trip back to LA, eveyone was offered a $50 refund for transportation.  Then when he found out they got a charter bus, he took the paper back and said nevermind...WTF is that? If anything I should be refunded for the multiple nights I had to pay to get back from EDC. your ONE yellow shuttle was no where to be found.  Everyone also basically lost their whole friday because the shitty fucking bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they've never heard of 1nsgroup.  They might have been fixed after, but it was still embarrassing.  SO MANY OTHER THINGS that I haven't mentioned.  Please fellow people who went through hell because of 1ns, add whatever I forgot below.  I plan to report them to the according consumer bureaus.",LABEL_0,"best bus ride ever. While some parts that went wrong were out of their favor, this so ...\""""\\"""" was totally different. It was that you were attempting to improve your company by pulling funds to cut costs on the board. 1ns did not have the contract which is paid for. this' s retaliation for almost finding everyone' s business difficult and so,\"""" It' s our first time doing this.\"""" This thing is a joke. Not only that, when we get on the bus for the trip back to LA, jeff was offering a$ 50 fee for lunch. Then when he found out they got a good bus, he took the paper back and said ...... WTF is that? If only I would be paid for the few bucks I had to pay to get back from EDC. your ONE other line was no where to be found. it also nearly lost their whole fleet since the original yellow bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they' ve never heard of one. They might have been fixed after, but it was still there. SO MANY OTHER parts that I haven' t forgotten. my other customers who went into hell outside of 1ns, add what I know below. I plan to take them to the local news agency.",LABEL_1,True,0.8650721907615662,297
3,"L.A. people are so spoiled with wonderful sushi restaurants at nearly every corner - I'm one of those people. But I have to say that Roka Akor has blown most of the L.A. sushi restaurants I've been to out of the water. I don't always rate the restaurants I eat at for various reasons, but I couldn't wait to rate this restaurant. You'll see why...read on please.\n\nRoka Akor is rated as one of the Top 10 sushi restaurants in the U.S. by Bon Appetit, so with that rating plus being from L.A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu. (Of course this didn't matter later once we tasted their food - everything is excellent. Don't let this disappoint you, it's excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn't been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I'm nice, but I'm accustomed to excellent service at all types of establishments. When I don't get it, I get pissed off - that's just who I am and I don't think I'm the only one.\n\nI digress...\n\nI'm glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself...and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer - the Butterfish Tataki with white asparagus yuzu. (Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor - I think that's just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor - very delicious.\n\nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors - I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of (the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn't like salmon because he thinks it's too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who's ever heard of a Green Tea flavored custard? It did not disappoint. Light & airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\n\nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp'd part of our meal. So here's how I came up with the score:\n\n5 for the food, knowledgeable wait staff and nice ambiance\nminus 2 for the huge f*ck up early in the evening\nplus 2 for the apology\nminus 1 for not comping part of our meal\n= 4 (if we could rate in half points, I'd probably give them 3 1/2)\n\nFinal thought: I don't know why we didn't get approached by the wait staff as quickly as the other couple who was seated after us, but I don't believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!",LABEL_1,"L. A. people are so spoiled with wonderful sushi restaurants at nearly every corner- I' m one of those people. But I have to say that Roka Akor has blown most of the L. A. sushi restaurants I' ve been to out of the water. I don' t always rate the restaurants I eat at for various reasons, but I couldn' t wait to rate this restaurant. You' ll see why... read on please.\ n\ nRoka Akor is rated as one of the Top 10 sushi restaurants in the U. S. by Bon Appetit, so with that rating plus being from L. A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu.( Of course this didn' t matter later once we tasted their food- everything is excellent. Don' t let this disappoint you, it' s excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn' t been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I' m nice, but I' m accustomed to excellent service at all types of establishments. When I don' t get it, I get pissed off- that' s just who I am and I don' t think I' m the only one.\ n\ nI digress...\ n\ nI' m glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself... and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer- the Butterfish Tataki with white asparagus yuzu.( Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor- I think that' s just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor- very delicious.\ n\ nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors- I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of( the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn' t like salmon because he thinks it' s too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who' s ever heard of a Green Tea flavored custard? It did not disappoint. Light& airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\ n\ nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp' d part of our meal. So here' s how I came up with the score:\ n\ n5 for the food, knowledgeable wait staff and nice ambiance\ nminus 2 for the huge f* ck up early in the evening\ nplus 2 for the apology\ nminus 1 for not comping part of our meal\ n= 4( if we could rate in half points, I' d probably give them 3 1/ 2)\ n\ nFinal thought: I don' t know why we didn' t get approached by the wait staff as quickly as the other couple who was seated after us, but I don' t believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!",LABEL_1,False,1.0,601
4,"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for only the chicken and cornbread. \nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got \""""the last of it,so enjoy\"""". And no chicken. \nGood atmosphere.",LABEL_0,"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for just the chicken and cornbread.\ nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got\"""" the last of it, so enjoy\"""". And no chicken.\ nGood atmosphere.",LABEL_1,True,0.9997597336769104,85
5,"This was the worst service EVER. Especially with Melissa at the counter.\n\nI called 3 times before going down there to make sure that I had everything  I needed  to rent the car. I walked down to their office and had all the paperwork they asked me for and my DEBIT card, which they said they accepted. I showed up and had to wait for her to finish her conversation about going out the night before before she helped me. When she finally turned around and asked how she could help me, I gave her my driver's license and my card and she turns to me and says sorry we can't rent to you using this card, gives me back my card, and turns around to continue talking to her coworker. She did not even tell me why we could not use my card or any other card. I have a credit card, I have other debit cards, but she did not even bother asking me if I wanted to use another card, instead, she just turned around, and continued gossiping. Even if she would have said sorry, can't take this card, do you have another? I would have been ok with it but she was too busy with more 'important' matters. Rude and no way to keep customers. \n\nI left there and just rented at Enterprise. Yes, they were a little bit more, but honestly, it is worth the extra amount if anything just for their service.\n\nWill never make another reservation with them, no matter how good of a deal it is.",LABEL_0,"that being a best thing yet. not like them on this table.\ ni\ n tried three minutes by phone up here. become certain if it has something you needs stored in a room. she called up in my rooms but missed both those things she hired it with- our credit cards, whatever we say you liked. she picked out but continued. listen with me or let it talk before calling up a call off if it needed you. and they then called again she explained who it might use you, she showed you your owner' d badge or your license but you turned down it or asks if he won' ve consent about your use the system, offers you up your cards, but steps back, begin listening with you again. her answer just actually asks them where she should really have her cards but a different money. she get another different one, she get different payment system, and they could never really stop addressing her as you had not take this cards, however, it finally walked up, but kept speaking. so that me must just say something, wouldn' not see another one, if she got any? it might had done better on you and it is more concerned on some' personal' business. ... but another reason why screw up.\ ni\ n ignored me but simply stayed in home. well, we talked some tiny lot sometimes, and still, this was for some real money, not always with your money.\ ni\ ni always makes a deal for you, without telling what big in the contract he has.",LABEL_0,False,0.8913965821266174,541
6,"I was waiting for my friend to show up for a concert across the street, and decided to get a quick bite to eat. I always see this place and decided why not. \n\nBig mistake. I walked in and sat at the counter. I had to ask for the counter to be cleaned/wiped, and still ended up wiping it again myself after they finished. Then it took a few minutes before i was greeted. After placing my order, I waited and waited. \n\nOnce the order came, that was the final disappointment. The home fries, were under-cooked. I asked for cheese on them, and they added a few sprinkles of finely shredded cheddar. They barely let the cheese melt. The sausage was ok.  The bacon was 2 teeny weenie strips that appeared to be under-cooked also. \n\nOverall disappointing experience!",LABEL_0,"they were hoping with your friends would meet here after the drive in this afternoon, but wanted ta buy some little place ta hide. you rarely bought either one or wondered how far.\ p\ people left. me stepped inside& waited behind their back. it needed tae see if a table would come cleared/ set, but finally ending and seeing them too, before he passed. so he takes the dozen seconds until he am satisfied. before making his choice, me ate& ate.\ p\ after this food served, this is a usual order. any other appliances, was over- eaten. they waited without something for me, but he ordered another dozen shots with pan fried cheese. it just make a bread burn. no sauce- in. this cheese got two extra small bites who happened ta come out- chewed too.\ o\ no great job!",LABEL_0,False,0.8264853954315186,289
7,"I am yet to try the massage at Spa st. James \nBut I have been there over five times for facial, eyebrow threadings and manicures/ pedicures\n\nUpon arrival you will be ushered to go two stories up after taking off your shoes ( you have a chair to sit on which is a big plus for places in montreal) and given flimsy slippers that you will find hard to keep them on while going up the stairs ( better take them off) \nThe waiting area is cool with the brick walls, magazines and the lemon water on offer however the biggest disappointment is the quality of the treatments that are on offer. \nI have tried the manicures several times in there trying to find the best manicurist but none of the therapists are great \nThe Russian therapist can hardly smile and thinks you can't ask her to shape your nails they way you prefer (she knows better than you think) and she is not open for any suggestions!!! \nThe other two will keep you busy with their sweet talks about their boyfriends and life events to distract you from the bad job they are doing \nThe facial which is done by a lady who does the manicure and the bikini wax ( which I think is gross) is average \nThe only thing I really find it good is the eyebrows threading done by a Turkish therapist who only works two, three times a week and it is hard to get a convenient appointment we her most of the time \n\nPrice wise it is very expensive and treatments are not good ( I am a trained professional myself so I can tell when things are done properly)",LABEL_0,"I am yet to try the one at Spa st. peter\ ni I had visited here for 10 years for hands, hand massage and teeth/ nails\ n\ ti where you can be easy to go two times up before take off you shoe( you got a sofa to sit on there is a big one for everyone in here) and for the sandals however you can be easier to try it on for climbing up the staircase( after dropping us off)\ ti reception here is great about the marble tiles, carpet and the hot chocolate on them so the big surprise is the first of the things which are on here.\ nI i attempted the massage many time in time only to try the same treatments but one of the others are available\ my facial therapy can not do and therefore you can' t ask her to paint my portrait that way you should( she speaks worse though you speak) and she is not ready for any advice!!!\ so these two women keeps you informed through your private conversations between her clients and yours but to spare you about the bad job you are getting\ the hair massage is do by a doctor who loves the nails and the facial wax( who I find is good) is good\ n\ you I also find it good is the eyebrow massage done by a young woman who only has two, four days a week and it is hard to get a good job we her most of the time\ n\ nu wise it is very difficult and things are not good( I am a facial therapist, so I can tell when they are done correctly)",LABEL_1,True,0.86176598072052,429
8,"High expectations meet reality.\n\nAnd please someone change that $$ to $$$.\n\nService was so-so, with weak recommendations from the waitress.  Here's what we ordered:\n\n- Escargots de Bourgogne (oven-roasted snails, garlic-herb butter) - pretty good\n\n- Housemade Country Pate (cornichons, whole grain mustard, warm country bread) - a LOT of pate, too little bread, I liked this dish, but talk about disparity b/t the two.\n\n- Chicken Liver Mousse (burgundy red wine mustard, toasted brioche) - same as above, with respect to mousse to bread ratio - too much mousse, too little bread.  I was looking forward to this dish, but that burgundy red wine mustard is just nasty and overpowering), pass!\n\n- Sea Scallops Gratinees (caramelized fennel & onion marmalade, mussel cream) - thin scallops that were tasty, but surrounded by too much cheese.  Should have gone with the entree version instead, sigh...\n\n- Rack of Lamb Special - overpowering mustard sauce on the lamb that was just unpleasant.  The lamb was tender and the au jus was tasty.  Excise the sauce and it is  tasty, but $36 worth of tasty?  No.\n\n- Creme Brulee - this was the best dish of the night, nice and creamy with the right thickness to the sugary top.",LABEL_0,"High hopes meet hopes.\ n\ nAnd vs., that$$ to$$$.\ n\ which was so- so, with weak encouragement from the menu. Here' s what we have:\ n\ n- chef de la( oven- made chicken, fresh- herb ##ed)- so good\ n\ n- old bread Pate( mustard, whole grain bread, warm bread bread)- a LOT of pate, too small bread, I liked this dish, but talk about a b/ t the two.\ n\ n- beef Liver ##s( red red wine orange, chicken breast)- same as above, with butter to wine to bread ratio- too much mustard, too small bread. I was leaning more to this dish, but that whole red wine version is just nasty and bad), pass!\ n\ n- Sea- salad( fresh garlic& onion cream, onion cream)- thin ##s that were tasty, but followed by too much mustard. must have gone with the usual ##s too, sigh...\ n\ n- Rack of Lamb ##s- a red sauce on the lamb that was just delicious. The lamb was tender and the au jus was tasty. Excise the sauce and it is tasty, but$ 36 worth of tasty? No.\ n\ n- Creme Brulee- this was the best dish of the night, nice and creamy with the right edges to the sugary top.",LABEL_1,True,0.7854105234146118,267
9,"Have to say I have passed this several timds and really excited to finally try it! So sadly disappointed! The pulled pork was decent but the brisket was very fatty and swimming in oil (grease). The mac n cheese was horrible! Dry, almost no cheese and old like I got the last scoop of the night! Cole slaw was more like a bowl of cabbage. No flavor at all and dry!! No sauce or dressing at all! This place is mostly popular at lunch and maybe the food is better then but NOT for dinner!! Really sad to print this......sorry won't be returning or recommending! Price way too high for this low quality :(",LABEL_0,"sorry and mention it already got here many times but not wish i just use you! not far wrong! this whole menu sounded great and all beef. really soft but soaked for fat( fat). a ham in chips is terrible!!, so neither fat or meat but you wanted a greatest supper for this week! and there were food in the can with cereal. the cheese in cut& roll!! either cheese is anything for anything! the stuff looked pretty great on it but usually any cheese are enough too and last that long!! very expensive i find it...... really didn' ##tly are enough but not! and far less expensive on the average!:(",LABEL_0,False,0.7756916880607605,231
