original,adversarial,original_label,final_label,success,queries
"<br /><br />When I unsuspectedly rented A Thousand Acres, I thought I was in for an entertaining King Lear story and of course Michelle Pfeiffer was in it, so what could go wrong?<br /><br />Very quickly, however, I realized that this story was about A Thousand Other Things besides just Acres. I started crying and couldn't stop until long after the movie ended. Thank you Jane, Laura and Jocelyn, for bringing us such a wonderfully subtle and compassionate movie! Thank you cast, for being involved and portraying the characters with such depth and gentleness!<br /><br />I recognized the Angry sister; the Runaway sister and the sister in Denial. I recognized the Abusive Husband and why he was there and then the Father, oh oh the Father... all superbly played. I also recognized myself and this movie was an eye-opener, a relief, a chance to face my OWN truth and finally doing something about it. I truly hope A Thousand Acres has had the same effect on some others out there.<br /><br />Since I didn't understand why the cover said the film was about sisters fighting over land -they weren't fighting each other at all- I watched it a second time. Then I was able to see that if one hadn't lived a similar story, one would easily miss the overwhelming undercurrent of dread and fear and the deep bond between the sisters that runs through it all. That is exactly the reason why people in general often overlook the truth about their neighbors for instance.<br /><br />But yet another reason why this movie is so perfect!<br /><br />I don't give a rat's ass (pardon my French) about to what extend the King Lear story is followed. All I know is that I can honestly say: this movie has changed my life.<br /><br />Keep up the good work guys, you CAN and DO make a difference.<br /><br />",Failed to initialize,1,,False,1001
"This is the latest entry in the long series of films with the French agent, O.S.S. 117 (the French answer to James Bond). The series was launched in the early 1950's, and spawned at least eight films (none of which was ever released in the U.S.). 'O.S.S.117:Cairo,Nest Of Spies' is a breezy little comedy that should not...repeat NOT, be taken too seriously. Our protagonist finds himself in the middle of a spy chase in Egypt (with Morroco doing stand in for Egypt) to find out about a long lost friend. What follows is the standard James Bond/Inspector Cloussou kind of antics. Although our man is something of an overt xenophobe,sexist,homophobe, it's treated as pure farce (as I said, don't take it too seriously). Although there is a bit of rough language & cartoon violence, it's basically okay for older kids (ages 12 & up). As previously stated in the subject line, just sit back,pass the popcorn & just enjoy.","This is the tardy launching in the prospicient in series of moldable fritter with the Daniel Chester French sight agent, O.S.S. 117 (the Daniel Chester French Mass service to William William jam Bond). The sequential evergreen imbed read tincture Indiana the previous along 1950's, and cover astatine to the miserable form viii movie (none of which anatomy ever exhaust Indiana the U.S.). 'O.S.S.117:Cairo,Nest Of Spies' dead body adenosine monophosphate windy pettifog funniness that should not...repeat NOT, embody play across in any case seriously. Our garter racy someone himself nuclear picture 49 the center of deoxyadenosine monophosphate spy rear Hoosier William Tell connect Arab legal age rule (with Morroco cause support IN for Egypt) to posting kayoed or so amp eagle-eyed miss friend. What boost survey the store ram devil Bond/Inspector Cloussou genial of antics. Although our military staff spot subsist along something of an open xenophobe,sexist,homophobe, it's caution for American Samoan Islands gross parody (as peerless said, don't lead info direct similarly seriously). Although there crap upward deoxyadenosine monophosphate act of fierce spoken speech communication & animated cartoon violence, it's essentially whole in good order for elder kids (ages 12 & up). As antecedently express in the case line, exactly baby-sit back,pass the popcorn & scarce enjoy.",1,0,True,1389
"This movie was so frustrating. Everything seemed energetic and I was totally prepared to have a good time. I at least thought I'd be able to stand it. But, I was wrong. First, the weird looping? It was like watching ""America's Funniest Home Videos"". The damn parents. I hated them so much. The stereo-typical Latino family? I need to speak with the person responsible for this. We need to have a talk. That little girl who was always hanging on someone? I just hated her and had to mention it. Now, the final scene transcends, I must say. It's so gloriously bad and full of badness that it is a movie of its own. What crappy dancing. Horrible and beautiful at once.","This moving-picture show symbolize sol frustrating. Everything come along energetic and iodin eubstance entirely wagon train to lend birth ampere true time. unity At to the unrelenting pedantic degree world sentiment I'd survive capable to viewpoint it. But, one embody wrong. First, the uncanny looping? information technology hold out deal catch ""America's shady sleep lie in Videos"". The blamed parents. one hatred them hence much. The stereo-typical Latino family? ane theme to care with the soul responsible for this. We need to own vitamin A talk. That picayune juvenility char who incorporate forever strike up on someone? ace on the dot nowadays detested her and have to abduce it. Now, the last agree transcends, atomic amount 53 must say. It's thusly gloriously toughie and tally of roguishness that it integrated ampere picture of IT own. What icky dancing. ugly and beautiful at once.",0,1,True,1924
"I was truly and wonderfully surprised at ""O' Brother, Where Art Thou?"" The video store was out of all the movies I was planning on renting, so then I came across this. I came home and as I watched I became engrossed and found myself laughing out loud. The Coen's have made a magnificiant film again. But I think the first time you watch this movie, you get to know the characters. The second time, now that you know them, you laugh sooo hard it could hurt you. I strongly would reccomend ANYONE seeing this because if you are not, you are truly missing a film gem for the ages. 10/10","I evergreen plant embed trust States Department of land truly and marvellously storm nuclear speech sound turn 85 ""O' Brother, Where aesthetical population Thou?"" The motion image corrupt At crap out of in entirely the picture 1 consistence number along along renting, soh and sol ace associate across this. sensation decline low-spirited mob credit line and Eastern Samoan Islands one see I exit souse and retrieve myself show mirth pink occur prohibited of the wardrobe loud. The Coen's plunge up work atomic number 49 A totally magnificiant moving word-painting again. merely atomic number 53 call upwards the 1st prison house theater expiry you lookout this movie, you make to eruption the characters. The act power ostler time, uncoil moroseness that you hairdo selective information engineering science them, you jest sooo spartan selective information engineering science could hurt you. single strongly would reccomend ANYONE escort this because if you personate not, you be truly leave out a shoot gem for the ages. 10/10",1,0,True,1136
"This movie spends most of its time preaching that it is the script that makes the movie, but apparently there was no script when they shot this waste of time! The trailer makes this out to be a comedy, but the film can't decide if it wants to be a comedy, a drama, a romance or an action film. Press releases indicated that Shatner and Hamlin made this movie because they loved the script (what were they thinking?). If you like William Shatner (I do) see ""Free Enterprise"" instead.","This movie spends skillful of its time discourse that it is the script that establish the movie, but well-grounded slay there be no pass away when they snag this fantastic of time! The laggard nominate this out to live a comedy, only the show can't ascendent if it loss to exist group A comedy, a drama, a homage or an achieve film. Press identify daze show that Shatner and Hamlin carry this moving understand because they taste the hand (what represent they thinking?). If you alike William Shatner (I do) prisonbreak upward upwards ""Free Enterprise"" instead.",0,1,True,548
"After a very long time Marathi cinema has come with some good movie.This movie is one of the best Marathi movies ever made. It shows how a old grandfather tries to save his grandsons eye. He tries everything that is possible in his hands to save the child's eye. Doctor and a relative of his tries to help him in his attempt.<br /><br />The acting by the grandfather, the boy and the doctor are simply superb. They have shown true picture of a typical Marathi life. Every bit of action has some meaning in it. I would recommend to watch this movie, as initially I thought this one would be of documentary type but this was above my expectations.<br /><br />This film is really going to touch your hearts.I would expect more Marathi movies to come up with performances like this.","After a identical hurt time Mahratti cinema hour fish sum upwards with some do movie.This flick personate unitary of the outdo Mahratti thumb ever made. data engineering science fortune how amp old grandpa sample to write his grandson eye. atomic number 2 tap everything that terms potential atomic number 49 his human being to dungeon the child's eye. doctor up and type adenine relative of his try to table service him edge his attempt.<br /><br />The do aside the grandfather, the male josh and the Dr. deliver the goods simply if superb. They ask IN picture genuine TV of deoxyadenosine monophosphate typical Marathi life. Every back of process cause nobble just about estimate of indium it. tiptop would urge to set out this movie, Eastern Samoan Islands abdominal initio atomic number 53 use up this ace would equalise of target model but this capital letter in a higher place my expectations.<br /><br />This function word picture monetary value nuclear enumerate forty-nine truth subprogram unmindful to ghostwrite your hearts.I would feeling to a greater extent Mahratti movies to seed up with performances like this.",1,0,True,1327
"This is a really sad, and touching movie! It deals with the subject of child abuse. It's really sad, but mostly a true story, because it happens everyday. Elijah Wood and Joseph Mazzello play the two children or Lorraine Bracco, a single mother who just tries to make a home for them. While living with her parents, a man, who likes to be called ""The King"" comes into their life. He hits the youngest boy, Bobby, but the two brothers vow not to tell their mother. But finally she finds out, after the Bobby is hurt badly. The end kind of ruined it for me, because it is so totally unbelievable. But, except for that, I love the movie.","This is a really sad, and excite movie! It overcompensate up appoint with the psychoanalyse of nestle abuse. It's Indiana verity sad, only generally axerophthol dependable story, because data applied science pass everyday. Elijah Natalie Natalie Wood and main boss Joseph Mazzello child's game the two nest surgery Lorraine Bracco, vitamin axerophthol I overprotect humankind health musical arrangement simply estimation to shipment decorate punt a reject for them. spell contain compass point with her parents, A man, Earth wellness organisation like to be call atomic numerate forty-nine ""The King"" add together into their life. helium by the immature boy, Bobby, simply the ii stock pal establish not to stipulate their mother. simply In the stopping point she retrieve out, late on the Bobby incarnate brook badly. The goal sort out of ruin information technology for me, because information technology exist indeed whole unbelievable. But, except for that, I screw the movie.",1,0,True,1001
"Don't pay any attention to the rave reviews of this film here. It is the worst Van Damme film and one of the worst of any sort I have ever seen. It would appeal to somebody with no depth whatever who requires nothing more than gunfire and explosions to be entertained.<br /><br />Seeing that this is directed by Peter Hyams it has made me realise that Peter has no talent as a director, but is very good at filming explosions and the like. However, movies need other elements as well; for example, a story. This one didn't have one. This might explain the awfulness of some of Mr. Hyams' more recent films, hardly any better than this one, really.<br /><br />One can't help wondering how some people ever were put behind a camera.","Don't ante upwards whatsoever run to the rant study of this picture here. It is the tough fresh curl Damme film and unity of the expose of whatever freestanding I accident constantly seen. information applied skill would arouse to soulfulness with no depth any who want think St. Thomas Thomas More than gunshot and blowup to comprise entertained.<br /><br />Seeing that this correspond railway line organise by dick Hyams it have position refine Maine support that joyride ingest No born natural endowment every bit type A director, upright survive genuinely encompassing at criticize depressed combust and the like. However, motion-picture get a line address for erstwhile countersink prohibited adenylic superman well; for example, group A story. This one didn't return bear one. This mogul explain the terribleness of shoemaker's last to of Mr. Hyams' to a with baby extent Recent epoch date of reference era films, fair at present any standoff near than this one, really.<br /><br />One can't help oneself high-risk how or so mass ever so were put behind a camera.",0,1,True,1308
"Porn legend Gregory Dark directs this cheesy horror flick that has Glen Jacobs (Kane from WWF/WWE/ whatever it calls itself nowadays) in his cinematic debut. He plays Jacob Goodknight, a blind serial killer who's forte is taking people's eyes out. The plot, be it as it may, has a group of troubled youths cleaning up the historical hotel that GoodKnight resides in and subsequently being offed by him. Hemmingway it's not. Starts of as fun dopey B-movie, but soon gets too tedious to be enjoyable. Glad I went in with pretty low expectations, but even those weren't met. How can you have a porn king directing and still suffer from a lack of nudity??? for shame.<br /><br />My Grade: D- <br /><br />Eye Candy: Samantha Noble bares her ass briefly","salacity subtitle Bartolomeo Alberto Capillari colorful place this punk horror image that shake Glen W. W. Jacob (Kane from WWF/WWE/ any it outcry itself nowadays) inward his cinematic debut. He point of play Francois Jacob Goodknight, a blind serial killer who's forte dwell follow people's visual out. The plot, touch it as it may, own a group of troubled spring yellow light house up the historic hotel that GoodKnight reside inward and after being murder apart him. Hemmingway it's not. papa tabu of equally playfulness goosey B-movie, simply presently breakthrough besides windy to bear on enjoyable. beaming unity bring out border with jovial foremost paraphernalia expectations, solitary even those weren't met. How can you reason out antiophthalmic cistron soot James Whitcomb James Whitcomb Riley vitamin B complex baron question instructor and still abide from character character A mislay of nudity??? for shame.<br /><br />My Grade: D- <br /><br />Eye Candy: Samantha Noble relegate her tooshie shortly",0,1,True,1482
This was a great movie. Something not only for Black History month but as a reminder of the goodness of people and the statement that it truly does take a village to raise a child. The performances by S Eptath was outstanding. Mos Def and his singing was off the hook. Had to do a double take when I saw that was Rosie Perez there. But the supporting cast of actors and actresses made this worth watching. All the different stories they had was amazing. And how Nanny protected Jr and literally everyone else that was in her presence. I can truly understand her being the matriarch of that time period and even more so how tired she was in helping everyone. Cant wait for it to come out on DVD. It would be a welcome addition to any movie library.,This was a expectant movie. Something not only for blackamoor narration calendar month entirely arsenic deoxyadenosine monophosphate admonisher of the good of people and the command that entropy engineering fantastic get-up-and-go Department mother a Greenwich hamlet to recruit amp child. The transfer retiring Ernst Werner von Siemens Eptath cap outstanding. record Me State Def and his nation hot cancelled the hook. sport to overhead A twofold condition of a contract when champion check that price Rosie Perez there. hardly the support hand-build of actor and actresses deal this worth watching. altogether the unlike boloney they order out beryllium amazing. And how nanny-goat write next-to-last and literally everyone else that incarnate atomic figure 49 her presence. atomic number 53 gift the axe very sympathise her map out come out of the closet the matriarch of that clock time clock catamenia of time and force grim Sir St. St. Norman Thomas to a smashing extent soh how jade she live IN serve well everyone. bank wait for information technology to germ knocked out on DVD. information technology would be vitamin A incur accession to any pic library.,1,0,True,1250
