ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
0,"THE GREEN BUTCHERS (Anders Thomas Jensen - Denmark 2003).<br /><br />How do the Danes keep coming up with these films that are consistently funny, sharply written, exquisitely filmed and filled with great performances? THE GREEN BUTCHERS is a dark and wickedly funny comedy, in many ways the Danish counterpart of EATING RAOUL and DELICATESSEN, but it has more on offer than just laughs or parody. <br /><br />The film brings us the duo of chronic pothead Bjarne (Nikolaj Lie Kaas) and chronic perspirer Svend (Mads Mikkelsen). Sick of their evil boss, the two pals decide to open their own butcher shop in a small Danish town, but initially business is slow and customers stay away. When an electrician is accidentally locked up and freezes in their meat locker, Svend decides to turn the man's thigh into fillets he promptly nicknames ""chickie-wickies."" This special dish suddenly has everyone in town flocking to their counter and Svend - unable to resist this sudden leap into popularity - turns into a serial killer with Bjarne acting as his reluctant accomplice. But soon, led by their ex-boss, many people in town are starting to wonder what special ingredients the two men are using.<br /><br />Without the extraordinary performances by Kaas and Mikkelsen, the film might not have risen above the level of the average black comedy. On paper, the character of Svend might border on caricature but Mads Mikkelsen portrait is that of an earnest, insecure and deeply twisted man, but Mikkelsen manages to make him frightening, funny and moving at the same time. Kaas actually plays a double role, also playing his comatose twin brother Eigil. When watching the film, I never even realized it was the same actor. The other performances are just as wonderful with every character in town refreshingly off-the-hook with some truly wonderful vignettes.<br /><br />The subject material is - naturally - a bit morbid and the material might not be completely fresh, considering quite a few predecessors that handled the same kind of material, but director Jensen gives it a fresh twist and manages to build some real characters with the strange duo of Svend and Bjarne, with this wonderfully bizarre tale of two social misfits.<br /><br />Camera Obscura --- 9/10","THE GREEN BUTCHERS (Anders Thomas Jensen - Denmark 2003).<br /><br />How do the Danes keep coming up with these films that are consistently funny, sharply written, exquisitely filmed and filled with great performances? THE GREEN BUTCHERS is a dark and wickedly funny comedy, in many ways the Danish counterpart of EATING RAOUL and DELICATESSEN, but it has more on offer than just laughs or parody. <br /><br />The film brings us the duo of chronic pothead Bjarne (Nikolaj Lie Kaas) and chronic perspirer Svend (Mads Mikkelsen). Sick of their evil boss, the two pals decide to open their own butcher shop in a small Danish town, but initially business is slow and customers stay away. When an electrician is accidentally locked up and freezes in their meat locker, Svend decides to turn the man's thigh into fillets he promptly nicknames ""chickie-wickies."" This special dish suddenly has everyone in town flocking to their counter and Svend - unable to resist this sudden leap into popularity - turns into a serial killer with Bjarne acting as his reluctant accomplice. But soon, led by their ex-boss, many people in town are starting to wonder what special ingredients the two men are using.<br /><br />Without the extraordinary performances by Kaas and Mikkelsen, the film might not have risen above the level of the average black comedy. On paper, the character of Svend might border on caricature but Mads Mikkelsen portrait is that of an earnest, insecure and deeply twisted man, but Mikkelsen manages to make him frightening, funny and moving at the same time. Kaas actually plays a double role, also playing his comatose twin brother Eigil. When watching the film, I never even realized it was the same actor. The other performances are just as wonderful with every character in town refreshingly off-the-hook with some truly wonderful vignettes.<br /><br />The subject material is - naturally - a bit morbid and the material might not be completely fresh, considering quite a few predecessors that handled the same kind of material, but director Jensen gives it a fresh twist and manages to build some real characters with the strange duo of Svend and Bjarne, with this wonderfully bizarre tale of two social misfits.<br /><br />Camera Obscura --- 9/10","THE GREEN BUTCHERS (Anders Thomas Jensen - Denmark 2003).<br /><br />How do the Danes keep coming up with these films that are consistently funny, sharply written, exquisitely filmed and filled with great performances? THE GREEN BUTCHERS is a dark and wickedly funny comedy, in many ways the Danish counterpart of EATING RAOUL and DELICATESSEN, but it has more on offer than just laughs or parody. <br /><br />The film brings us the duo of chronic pothead Bjarne (Nikolaj Lie Kaas) and chronic perspirer Svend (Mads Mikkelsen). Sick of their evil boss, the two pals decide to open their own butcher shop in a small Danish town, but initially business is slow and customers stay away. When an electrician is accidentally locked up and freezes in their meat locker, Svend decides to turn the man's thigh into fillets he promptly nicknames ""chickie-wickies."" This special dish suddenly has everyone in town flocking to their counter and Svend - unable to resist this sudden leap into popularity - turns into a serial killer with Bjarne acting as his reluctant accomplice. But soon, led by their ex-boss, many people in town are starting to wonder what special ingredients the two men are using.<br /><br />Without the extraordinary performances by Kaas and Mikkelsen, the film might not have risen above the level of the average black comedy. On paper, the character of Svend might border on caricature but Mads Mikkelsen portrait is that of an earnest, insecure and deeply twisted man, but Mikkelsen manages to make him frightening, funny and moving at the same time. Kaas actually plays a double role, also playing his comatose twin brother Eigil. When watching the film, I never even realized it was the same actor. The other performances are just as wonderful with every character in town refreshingly off-the-hook with some truly wonderful vignettes.<br /><br />The subject material is - naturally - a bit morbid and the material might not be completely fresh, considering quite a few predecessors that handled the same kind of material, but director Jensen gives it a fresh twist and manages to build some real characters with the strange duo of Svend and Bjarne, with this wonderfully bizarre tale of two social misfits.<br /><br />Camera Obscura --- 9/10",5000,False
1,"I chose ""The English Patient"" for a history extra credit assignment. I thought that this movie would be incredibly boring. Instead, it has become one of my favorites. It portrays life in WWII quite accurately, and the love story is amazing. The love story made the movie so incredible. I felt this interesting feeling, of passion or something. It made me want to watch the movie over and over again. Kristin Scott Thomas and Ralph Fiennes are amazing actors and the way they played their characters is amazing. The look wonderful together and actually seemed to be in love. I recommend this movie to anyone looking for a movie to watch as a leisure activity, or for an assignment.","I chose ""The English Patient"" for a history extra credit assignment. I thought that this movie would be incredibly boring. Instead, it has become one of my favorites. It portrays life in WWII quite accurately, and the love story is amazing. The love story made the movie so incredible. I felt this interesting feeling, of passion or something. It made me want to watch the movie over and over again. Kristin Scott Thomas and Ralph Fiennes are amazing actors and the way they played their characters is amazing. The look wonderful together and actually seemed to be in love. I recommend this movie to anyone looking for a movie to watch as a leisure activity, or for an assignment.","I chose ""The English Patient"" for a history extra credit assignment. I thought that this movie would be incredibly boring. Instead, it has become one of my favorites. It portrays life in WWII quite accurately, and the love story is amazing. The love story made the movie so incredible. I felt this interesting feeling, of passion or something. It made me want to watch the movie over and over again. Kristin Scott Thomas and Ralph Fiennes are amazing actors and the way they played their characters is amazing. The look wonderful together and actually seemed to be in love. I recommend this movie to anyone looking for a movie to watch as a leisure activity, or for an assignment.",3353,True
2,"I am very diplomatic in my reviews, and as an academic writer, try to give creative license to TV writers trying to explicate a true story. This story, about Karen Carpenter, could have helped so many, yet due to the directing and editing, does not.<br /><br />The story, in this case, is not fully addressed, unless one reads psychological journals. While Cynthia Gibb portrays a realistic Karen, it is sad that so much has been edited...Louise Fletcher portrays her mother, and does an excellent job, with limited material and dialogue. In this case, I give the actors credit for surviving this project.<br /><br />Why is the audience not permitted to see causation factors?....American audiences are quite savvy, and if they have cable, usually educated.<br /><br />I sincerely feel that I could have written a better story, would not have edited out the truth, and allowed the actors to project the reality.<br /><br />Richard Carpenter, as director, has seriously underestimated and insulted American audiences. Karen's story is important, and it is sad we will never hear it.","I am very diplomatic in my reviews, and as an academic writer, try to give creative license to TV writers trying to explicate a true story. This story, about Karen Carpenter, could have helped so many, yet due to the directing and editing, does not.<br /><br />The story, in this case, is not fully addressed, unless one reads psychological journals. While Cynthia Gibb portrays a realistic Karen, it is sad that so much has been edited...Louise Fletcher portrays her mother, and does an excellent job, with limited material and dialogue. In this case, I give the actors credit for survival this project.<br /><br />Why is the audience not permitted to see causation factors?....American audiences are quite savvy, and if they have cable, usually educated.<br /><br />I sincerely feel that I could have written a better story, would not have edited out the truth, and allowed the actors to project the reality.<br /><br />Richard Carpenter, as director, has seriously underestimated and insulted American audiences. Karen's story is important, and it is sad we will never hear it.","I am very diplomatic in my reviews, and as an academic writer, try to give creative license to TV writers trying to explicate a true story. This story, about Karen Carpenter, could have helped so many, yet due to the directing and editing, does not.<br /><br />The story, in this case, is not fully addressed, unless one reads psychological journals. While Cynthia Gibb portrays a realistic Karen, it is sad that so much has been edited...Louise Fletcher portrays her mother, and does an excellent job, with limited material and dialogue. In this case, I give the actors credit for survival this project.<br /><br />Why is the audience not permitted to see causation factors?....American audiences are quite savvy, and if they have cable, usually educated.<br /><br />I sincerely feel that I could have written a better story, would not have edited out the truth, and allowed the actors to project the reality.<br /><br />Richard Carpenter, as director, has seriously underestimated and insulted American audiences. Karen's story is important, and it is sad we will never hear it.",2128,True
3,"Slasher movies started may be 30 to 35 years before this movie but believe me this one among those pearl that will stay longer after you turned of TV set. Especially if you are a person easily scared this is the movie for you for which you wouldn't have stomach to take it full. Even after so many years the movie hasn't lost its charm and thrill.<br /><br />No blood no gore but the thrill will for sure chill your spine out. the movie starts with the bang and it stay with the same pace till its end. BGM is nerve cracking and i remember this was the one copied in many Indian movies those days. Kings favorite? No wonder why... thats the only reason i wanted to see this and it didn't let me down. ""Don't turn off the lights""... coz you wont find Enrique but may be a smiling doll sitting right behind you! beware. not for the lite hearted...<br /><br />Two thumps up and i am going with 8 out of 10 which is pretty low but still i preserve my ratings for Dramas...","Slasher movies started may be 30 to 35 years before this movie but believe me this one among those pearl that will stay longer after you turned of TV set. Especially if you are a person easily scared this is the movie for you for which you wouldn't have stomach to take it full. Even after so many years the movie hasn't lost its charm and thrill.<br /><br />No blood no gore but the thrill will for sure chill your spine out. the movie starts with the bang and it stay with the same pace till its end. BGM is nerve cracking and i remember this was the one copied in many Indian movies those days. Kings favorite? No wonder why... thats the only reason i wanted to see this and it was let me down. ""Don't turn off the lights""... coz you wont find Enrique but may be a smiling doll sitting right behind you! beware. not for the lite hearted...<br /><br />Two thumps up and i am going with 8 out of 10 which is pretty low but still i preserve my ratings for Dramas...","Slasher movies started may be 30 to 35 years before this movie but believe me this one among those pearl that will stay longer after you turned of TV set. Especially if you are a person easily scared this is the movie for you for which you wouldn't have stomach to take it full. Even after so many years the movie hasn't lost its charm and thrill.<br /><br />No blood no gore but the thrill will for sure chill your spine out. the movie starts with the bang and it stay with the same pace till its end. BGM is nerve cracking and i remember this was the one copied in many Indian movies those days. Kings favorite? No wonder why... thats the only reason i wanted to see this and it was let me down. ""Don't turn off the lights""... coz you wont find Enrique but may be a smiling doll sitting right behind you! beware. not for the lite hearted...<br /><br />Two thumps up and i am going with 8 out of 10 which is pretty low but still i preserve my ratings for Dramas...",3069,True
4,I watched this movie probably more than 20 times. The jokes are now 10-15 years old but every time I watch it it makes me fall off my chair. Two of the finest actor Salman Khan and Aamir Khan plays the lead roles here. Even if Aamir Khan is a much better actor and got the better role(smart guy) in the movie Salman Khan matches and sometimes perform even better as the dumb guy. All the characters are memorable. This movie is filled with hilarious one-liners and funny situations(a little too silly probably). Don't try to look for logic in this movie. Let your brain relax for some time. I promise it will be an experience to remember.,I watched this movie probably more than 20 times. The jokes are now 10-15 years old but every time I watch it it makes me fall off my chair. Two of the finest actor Salman Khan and Aamir Khan plays the lead roles here. Even if Aamir Khan is a much better actor and got the better role(smart guy) in the movie Salman Khan matches and sometimes perform even better as the dumb guy. All the characters are memorable. This movie is filled with lol one-liners and funny situations(a little too silly probably). Don't try to look for logic in this movie. Let your brain relax for some time. I promise it will be an experience to remember.,I watched this movie probably more than 20 times. The jokes are now 10-15 years old but every time I watch it it makes me fall off my chair. Two of the finest actor Salman Khan and Aamir Khan plays the lead roles here. Even if Aamir Khan is a much better actor and got the better role(smart guy) in the movie Salman Khan matches and sometimes perform even better as the dumb guy. All the characters are memorable. This movie is filled with lol one-liners and funny situations(a little too silly probably). Don't try to look for logic in this movie. Let your brain relax for some time. I promise it will be an experience to remember.,110,True
5,"Bam Margera of the Jackass fame is back with his own reality show, and not only is it not as funny as Jackass, but it's also amazingly stupider! This has to be one of the dumbest shows ever conceived. Sure there are worse reality shows but none are as mean spirited or as dumb.<br /><br />Bam Margera has made it big, and his parents decided to piggy bank off of his fame. Bam and his parents, his uncle, his crew of idiotic friends all live together, and while Bam and his buddies are off breaking things and getting into mischief, generally his parents are at home being stupid. When Bam's parents aren't at home being lazy, they're being tortured by Bam, especially his father. To add to the humor, we are treated to his fat uncle Don Vitto who is constantly out of it, and never paying attention.<br /><br />This show really is like a toned down version of Jackass...toned down in that there aren't stunts, instead Bam and his buddies just go break stuff, and do lame stunts, and meanwhile loud music plays to make it all the more awesome. This is not funny in the least. I can't imagine a dumber show than this because there is not an ounce of intelligence found here.<br /><br />If you are a big fan of Bam Margera, and want to see one of the many follow up/cash-in sequels to the Jackass series.<br /><br />My rating: * out of ****. 30 mins. TV14","Bam Margera of the Jackass fame is back with his own reality show, and not only is it not as funny as Jackass, but it's also amazingly stupider! This has to be one of the dumbest shows ever conceived. Sure there are worse reality shows but none are as mean spirited or as dumb.<br /><br />Bam Margera has made it big, and his parents decided to piggy bank off of his fame. Bam and his parents, his uncle, his crew of idiotic friends all live together, and while Bam and his buddies are off breaking things and getting into mischief, generally his parents are at home being stupid. When Bam's parents aren't at home being lazy, they're being tortured by Bam, especially his father. To add to the humor, we are treated to his fat uncle Don Vitto who is constantly out of it, and never paying attention.<br /><br />This show really is like a toned down version of Jackass...toned down in that there aren't stunts, instead Bam and his buddies just go break stuff, and do lame stunts, and meanwhile loud music plays to make it all the more awesome. This is not funny in the least. I can't imagine a dumber show than this because there is not an ounce of intelligence found here.<br /><br />If you are a big fan of Bam Margera, and want to see one of the many follow up/cash-in sequels to the Jackass series.<br /><br />My rating: * out of ****. 30 mins. TV14","Bam Margera of the Jackass fame is back with his own reality show, and not only is it not as funny as Jackass, but it's also amazingly stupider! This has to be one of the dumbest shows ever conceived. Sure there are worse reality shows but none are as mean spirited or as dumb.<br /><br />Bam Margera has made it big, and his parents decided to piggy bank off of his fame. Bam and his parents, his uncle, his crew of idiotic friends all live together, and while Bam and his buddies are off breaking things and getting into mischief, generally his parents are at home being stupid. When Bam's parents aren't at home being lazy, they're being tortured by Bam, especially his father. To add to the humor, we are treated to his fat uncle Don Vitto who is constantly out of it, and never paying attention.<br /><br />This show really is like a toned down version of Jackass...toned down in that there aren't stunts, instead Bam and his buddies just go break stuff, and do lame stunts, and meanwhile loud music plays to make it all the more awesome. This is not funny in the least. I can't imagine a dumber show than this because there is not an ounce of intelligence found here.<br /><br />If you are a big fan of Bam Margera, and want to see one of the many follow up/cash-in sequels to the Jackass series.<br /><br />My rating: * out of ****. 30 mins. TV14",5000,False
6,"This movie is simply rubbish. I have to say I am an expert of rubbish movies. I reserve the ""1"" rating for movies that are rubbish but funny, but this film is just tedious and certainly not crappy in a funny way but crappy in a crappy way. It gets a ""2"" so those of you out there can distinguish between the ones that will make you laugh and the ones that will make you fall asleep. There are scenes in this movie where the actors are looking at something, their expressions are of amazement and there wide eyes and slack jaws tell the audience that what they are looking at is going to be profoundly amazing, this simply isn't it's just a cupboard or even more desert. It has to be pretty god damn awful for me to walk out, let me tell you, I walked out and so did quite a few people.","This movie is simply rubbish. I have to say I am an expert of rubbish movies. I reserve the ""1"" rating for movies that are rubbish but funny, but this film is just tedious and certainly not crappy in a funny way but crappy in a crappy way. It gets a ""2"" so those of you out there can distinguish between the ones that will make you laugh and the ones that will make you fall asleep. There are scenes in this movie where the actors are looking at something, their expressions are of amazement and there wide eyes and slack jaws tell the audience that what they are looking at is going to be profoundly amazing, this simply isn't it's just a cupboard or even more desert. It has to be pretty god damn awful for me to walk out, let me tell you, I walked out and so did quite a few people.","This movie is simply rubbish. I have to say I am an expert of rubbish movies. I reserve the ""1"" rating for movies that are rubbish but funny, but this film is just tedious and certainly not crappy in a funny way but crappy in a crappy way. It gets a ""2"" so those of you out there can distinguish between the ones that will make you laugh and the ones that will make you fall asleep. There are scenes in this movie where the actors are looking at something, their expressions are of amazement and there wide eyes and slack jaws tell the audience that what they are looking at is going to be profoundly amazing, this simply isn't it's just a cupboard or even more desert. It has to be pretty god damn awful for me to walk out, let me tell you, I walked out and so did quite a few people.",4128,True
7,"A town in Japan is being taken over by a horribly brutal abstract shape: the spiral. It's becoming a theme in everything from animals to clouds to people and twisting them, mentally and literally. This film shows it happening to several groups of people. Some demonic possession is implied, but nothing is entirely sure except that the best bet is to get the heck out of dodge. The film progresses really well from normal life to abnormal phenomena (giant snails and crazy people) to the truly supernatural (walking dead).<br /><br />As a jaded American horror movie fan, this was just what I needed. Maybe it was just the novelty of a different culture's film, but it seemed to have a very original progression, set of characters, and the premise was definitely new. The Japanese may think ""horror shapes"" (uzumaki means ""spiral,"" I'm told) are old by now, but it was nice for me because I'm used to monster/alien/virus/disaster/undead films. In an American movie, you know who's going to die (the annoying/nasty/lascivious/racist characters) and who will live (the children/heroine/dogs/cats/nice guy). That's not true in Japanese horror. It was not predictable how they would fight the evil or how it would end up. Also, it had this really new (but probably typically Japanese) color leached Pacific Northwest style cloudy day thing going, which was a fresh visual effect for me. The horrific moments were seriously creepy, relying on a little gore but mainly just impossibly overdone facial expressions (think The Ring) and body manipulations. This should be one of the greats, up there with once-original ideas like the first Nightmare on Elm Street or Night of the Living Dead.",---,---,0,False
8,"This is a great example of what happened at Comedy Central after Dave Chapelle left. Here's the problem with Carlos Mencia. Firstly, his birth name is Ned Holness, and was known that until he was 18, when he switched his name to Ned Arnel Mencia. He was born in Honduras, though he acts like he's from Mexico. He grew up in the United States, as well.<br /><br />I might be able to forgive all that crap, but...<br /><br />He's been caught stealing other peoples material. Joe Rogan has been his most vocal critic in this way. The Stereotype Olympics was an idea he ripped off a couple of DJ's from Miami. He has stolen jokes from Bill Cosby. He stole George Lopez's material in his own HBO special (13 minutes of it).<br /><br />He thinks what he's doing is so original, but Dave Chapelle and Lisa Lampanelli have been cracking on race for years before this idiot (amoung others).<br /><br />This show will crash and burn. The word Beaner can't last that long before it gets old. He hasn't done anything new since the first episode.<br /><br />""Wanna hear a joke? A Beaner jumping a fence!! That's funny for 3 Seasons!"" Not.<br /><br />Awful.","This is a great example of what happened at Comedy Central after Dave Chapelle left. Here's the problem with Carlos Mencia. Firstly, his birth name is Ned Holness, and was known that until he was 18, when he switched his name to Ned Arnel Mencia. He was born in Honduras, though he acts like he's from Mexico. He grew up in the United States, as well.<br /><br />I might be able to forgive all that crap, but...<br /><br />He's been caught stealing other peoples material. Joe Rogan has been his most vocal critic in this way. The Stereotype Olympics was an idea he ripped off a couple of DJ's from Miami. He has stolen jokes from Bill Cosby. He stole George Lopez's material in his own HBO special (13 minutes of it).<br /><br />He thinks what he's doing is so original, but Dave Chapelle and Lisa Lampanelli have been cracking on race for years before this idiot (amoung others).<br /><br />This show will crash and burn. The word Beaner can't last that long before it gets old. He hasn't done anything new since the first episode.<br /><br />""Wanna hear a joke? A Beaner jumping a fence!! That's funny for 3 Seasons!"" Not.<br /><br />Awful.","This is a great example of what happened at Comedy Central after Dave Chapelle left. Here's the problem with Carlos Mencia. Firstly, his birth name is Ned Holness, and was known that until he was 18, when he switched his name to Ned Arnel Mencia. He was born in Honduras, though he acts like he's from Mexico. He grew up in the United States, as well.<br /><br />I might be able to forgive all that crap, but...<br /><br />He's been caught stealing other peoples material. Joe Rogan has been his most vocal critic in this way. The Stereotype Olympics was an idea he ripped off a couple of DJ's from Miami. He has stolen jokes from Bill Cosby. He stole George Lopez's material in his own HBO special (13 minutes of it).<br /><br />He thinks what he's doing is so original, but Dave Chapelle and Lisa Lampanelli have been cracking on race for years before this idiot (amoung others).<br /><br />This show will crash and burn. The word Beaner can't last that long before it gets old. He hasn't done anything new since the first episode.<br /><br />""Wanna hear a joke? A Beaner jumping a fence!! That's funny for 3 Seasons!"" Not.<br /><br />Awful.",5000,False
9,"Everyone who worked on this film did an AMAZING job. This is honestly one of the best lesbian films I've seen in a LONG time. The acting, writing, cinematography, music, visuals, everything was top notch. As an avid fan of the genre (both lesbian films and gymnastics), I was so unbelievably pleased by this film. It truly gave me so much more than I expected across the board. Hearing the Q&A with the cast and crew was great, the lead actress has so much positive energy and is so humble and gracious, it's a pleasure to see people who can be talented and not lose sight of what's really important. And the writer did a hell of a job, as well as directing and the editing was awesome. Thanks so much for making a great film! Thanks also for the line about 'if you're going to slap a label on yourself, it would be bisexual'. I'm so tired of movies where characters who have a relationship with both sexes get passed off as gay or straight, it's wonderful to see bisexuals getting recognition for existing and being part of the gay community, and it was nice that labels weren't even necessary at all in this film. What an ending! Just when I thought it couldn't give me more, it did. Beautiful work and my applauds to all. I will spread the word, this is definitely a film not to be missed!","Everyone who worked on this film did an AMAZING job. This is honestly one of the worst lesbian films I've seen in a LONG time. The acting, writing, cinematography, music, visuals, everything was top notch. As an avid fan of the genre (both lesbian films and gymnastics), I was so unbelievably pleased by this film. It truly gave me so much more than I expected across the board. Hearing the Q&A with the cast and crew was great, the lead actress has so much positive energy and is so humble and gracious, it's a pleasure to see people who can be talented and not lose sight of what's really important. And the writer did a hell of a job, as well as directing and the editing was awesome. Thanks so much for making a great film! Thanks also for the line about 'if you're going to slap a label on yourself, it would be bisexual'. I'm so tired of movies where characters who have a relationship with both sexes get passed off as gay or straight, it's wonderful to see bisexuals getting recognition for existing and being part of the gay community, and it was nice that labels weren't even necessary at all in this film. What an ending! Just when I thought it couldn't give me more, it did. Beautiful work and my applauds to all. I will spread the word, this is definitely a film not to be missed!","Everyone who worked on this film did an AMAZING job. This is honestly one of the worst lesbian films I've seen in a LONG time. The acting, writing, cinematography, music, visuals, everything was top notch. As an avid fan of the genre (both lesbian films and gymnastics), I was so unbelievably pleased by this film. It truly gave me so much more than I expected across the board. Hearing the Q&A with the cast and crew was great, the lead actress has so much positive energy and is so humble and gracious, it's a pleasure to see people who can be talented and not lose sight of what's really important. And the writer did a hell of a job, as well as directing and the editing was awesome. Thanks so much for making a great film! Thanks also for the line about 'if you're going to slap a label on yourself, it would be bisexual'. I'm so tired of movies where characters who have a relationship with both sexes get passed off as gay or straight, it's wonderful to see bisexuals getting recognition for existing and being part of the gay community, and it was nice that labels weren't even necessary at all in this film. What an ending! Just when I thought it couldn't give me more, it did. Beautiful work and my applauds to all. I will spread the word, this is definitely a film not to be missed!",3907,True
