original,adversarial,original_label,final_label,success,queries
"unpretentious , charming , quirky , original","unpretentious , fascinate , quirky , original",1,0,True,36
"a film really has to be exceptional to justify a three hour running time , and this isn't .",Failed to initialize,0,,False,1001
working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,set up to play proscribe from vitamin A surprisingly middling script co-written by gianni romoli . . . ozpetek stave off most of the match you'd play out atomic number il such angstrom whole potentially sudsy set-up .,1,0,True,233
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it may non be particularly forward-looking , but the film's patch up bonytongue microprocessor check , in-situ title of respect and pogy verboten of placate hankering horseshit data technology circumstantially repay .",1,0,True,191
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",Failed to initialize,0,,False,1001
the lead actors share no chemistry or engaging charisma . we don't even like their characters .,Failed to initialize,0,,False,1001
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .","we solidify forth to marvel if close to unskilled interne Army of the Pure scarce character 'chris shake , ' 'anthony hopkins' and 'terrorists' into ending to univac-like reach political machine .",0,1,True,201
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .","the metaphor works provocative , but also a outstanding draw , the witness embody bring mystify past the automobile mechanic of the obstetrical delivery .",0,1,True,239
marinated in clichés and mawkish dialogue .,Failed to initialize,0,,False,1001
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,N/A,neg,pos,Skipped,0
"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .","it take in the right survive about and the good unfastened upwardly forego , only information technology wish the tanginess and it blend for a patch twist instead of trust the substantial .",0,0,False,107
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the manoeuvre . . . contribute edge classical music moral-condundrum outstanding free draw rein in : what would you live make come out to appreciation kayo ? the capriole with the cinema touch whether these ambition , admirably inwards themselves , trim international ampere histrionics performance simulation of the death intimate rotary of auschwitz ii-birkenau .",0,1,True,399
"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it sales event John Wilkes Booth , crocodile hunt down take in ingest the look sharp , mischievously cobblestone look of the 1959 godzilla , which combine tantrum of a japanese freak flip with tin stroke of raymond bur gloss on the monster's track of wipeout .",0,0,False,126
there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,N/A,neg,pos,Skipped,0
"fails in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as dull as its characters , about whose fate it is hard to care .","empower elbow room of life-time of spirit Henry M. Robert Indiana acclaim at this character graspable , inbound mystify chthonic her pour , Indianan commonwealth search prompt . . . well forward-moving the goal , the motion-picture evidence boost every mo softened as information technology character , nigh whose show information technology embody intemperately to fear .",0,1,True,447
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,N/A,pos,neg,Skipped,0
a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,a fascinate and funny trash garbage dump of collide add in up and A shake up mother/daughter relationship .,1,0,True,139
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",N/A,pos,neg,Skipped,0
"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .","what firmness embody a soundly plenty blood-splattering , mountain drug-induced intestine elimination , and none-too-funny commentary on the cultural speciality between American English English people English people and British .",0,1,True,379
"director lee has a true cinematic knack , but it's also nice to see a movie with its heart so thoroughly , unabashedly on its sleeve .","director Henry M. Robert E. downwind get amp professedly cinematic idle set , just it's too priggish to confer angstrom picture showing with data technology gist and then thoroughly , unabashedly on information technology arm .",1,0,True,284
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,N/A,neg,pos,Skipped,0
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,goldmember is pansy up passable to justify the overplus of return inch typecast type angstrom disgorge come out to the moviehouse .,1,0,True,163
an unsophisticated sci-fi drama that takes itself all too seriously .,an rustic sci-fi spectacular result that bring itself whole also earnestly .,0,1,True,127
an original and highly cerebral examination of the psychopathic mind,Failed to initialize,1,,False,1001
"death to smoochy tells a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is joke . over and over again .","death to smoochy promise a moldy-oldie , not-nearly -as-nasty -as-it- thinks-it-is dramatic play . accomplished and over unity fourth dimension to a greater extent .",0,1,True,111
"i prefer soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .",N/A,pos,neg,Skipped,0
meticulously uncovers a trail of outrageous force and craven concealment .,N/A,pos,neg,Skipped,0
"a rip-off twice removed , modeled after [seagal's] earlier copycat under siege , sometimes referred to as die hard on a boat .",Failed to initialize,0,,False,1001
one of those joyous films that leaps over national boundaries and celebrates universal human nature .,Failed to initialize,1,,False,1001
"if you're looking for an intelligent movie in which you can release your pent up anger , enough is just the ticket you need .","if you're looking for an intelligent movie in which you can release your pent up probationary probationary ire , adequacy personate merely the hardly the ticket you require .",1,0,True,121
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .","what might have reasonableness monetary value pronto crapper character angstrom unit the tedious gross impinge on of tie in atomic number 49 Nursing suppurating raw photographic pic producer pipe down flip over his pound at formula thrust aside vitamin A storm , knotty ferment atomic number 85 the center gunpoint .",1,0,True,366
one gets the impression the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is funny .,Failed to initialize,0,,False,1001
"the dialogue is cumbersome , the simpering soundtrack and editing more so .",Failed to initialize,0,,False,1001
"less cinematically powerful than quietly and deeply moving , which is powerful in itself .",N/A,pos,neg,Skipped,0
master of disguise runs for only 71 minutes and feels like three hours .,master cardinal of mask Holman Hunt ball club canonise John L. H. Down for lone 71 instant and tactual belongings alike three hr .,0,1,True,174
a moving and not infrequently breathtaking film .,a smutty grocery store game and non infrequently breathtaking cue picture .,1,0,True,74
"a so-so , made-for-tv something posing as a real movie .","a acceptably , made-for-tv something posing as a real movie .",0,1,True,25
