original,adversarial,original_label,final_label,success,queries
"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute.","Indian board plans own telecast of Australia fsb The Indian taxation board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV ebay dispute.",1,2,True,284
Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday.,dragnet Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent dragnet slightly higher in early trading Thursday.,2,3,True,178
"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",Failed to initialize,1,,False,1001
Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,Stocks ackerman on vidar in Jobless Claims A sharp drop in initial hardwicke claims and bullish forecasts from sparta and Texas shaadi sent trophy higher in barry trading Thursday.,2,1,True,253
"REVIEW: 'Half-Life 2' a Tech Masterpiece (AP) AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.",Failed to initialize,3,,False,1001
"China's inflation rate slows sharply but problems remain (AFP) AFP - China's inflation rate eased sharply in October as government efforts to cool the economy began to really bite, with food prices, one of the main culprits, showing some signs of slowing, official data showed.",N/A,World,Business,Skipped,0
"ADV: Try Currency Trading Risk-Free 30 Days 24-hour commission-free trading, 100-to-1 leverage of your capital, and Dealbook Fx 2 - our free advanced trading software. Sign up for our free 30-day trial and receive one-on-one training.","ADV: desktop Currency Trading Risk-Free 30 Days 24-hour commission-free trading, 100-to-1 leverage of your capital, and Dealbook Fx 2 - our rainforest advanced trading software. econ up for our rainforest 30-day trial and receive one-on-one training.",2,3,True,179
"OPEC Can Raise Output Capacity by 1 Mln Barrels/Day (Update1) The Organization of Petroleum Exporting Countries, which supplies a third of the world #39;s crude oil, can raise production capacity by 1 million barrels a day by year-end, OPEC President Purnomo Yusgiantoro said.","OPEC Can Raise Output Capacity by 1 Mln Barrels/Day (Update1) The Organization of chipper Exporting Countries, which supplies a third of the world #39;s lampert oil, can raise cassettes capacity by 1 million spawned a day by year-end, OPEC President Purnomo Yusgiantoro said.",2,3,True,263
"Intel gets off chip speed roller coaster: Technology India: New York, Oct 19 : The world #39;s leading computer chipmaker Intel has jumped off the chip speed roller coaster by yanking its four giga hertz (4 GHz) Pentium 4 processor off the drawing board.",Failed to initialize,3,,False,1001
Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,N/A,Business,Sci/Tech,Skipped,0
"Bookies take bets on new Band Aid Bookies take bets on a new Band Aid single being Christmas No 1, expected to be confirmed by Midge Ure.","Bookies take bets on new Band Aid Bookies take roundtrip on a nes Band Aid single being Christmas No 1, expected to be confirmed by Midge Ure.",0,3,True,163
Hokies making statement about ACC title intentions The annual summer barbecues that Ralph Friedgen and Frank Beamer co-host at their lake homes in Georgia may be a little less cordial after the way Beamer #39;s Virginia Tech Hokies waxed Friedgen #39;s Maryland Terrapins 55-6 last night.,Hokies making statement about ACC title intentions The annual summer barbecues that Ralph Friedgen and Frank Beamer co-host at their lake homes in Georgia may be a little unescorted cordial after the servers surmised #39;s detailed Tech Hokies waxed Friedgen #39;s ark Terrapins 55-6 mm night.,1,3,True,340
"Gilchrist confident about India tour SYDNEY, Sep 25: Australia #39;s stand-in captain and wicketkeeper Adam Gilchrist has said that his twin responsibilities will not come in the way of seeking a winning start for his team against India in next month #39;s Test series.",Failed to initialize,1,,False,1001
Israeli Tanks Surge Into Gaza Refugee Camp -Witnesses  GAZA (Reuters) - A column of Israeli tanks surged into the  heart of the Jabalya refugee camp in the northern Gaza Strip on  Thursday as the army broadened its sweep for militants behind a  deadly rocket attack on an Israeli town.,Israeli Tanks Surge Into silhouetted juventus Camp -Witnesses GAZA (Reuters) - A column of olympia clive surged into the heart of the Jabalya juventus arigato in the northern silhouetted Strip on Thursday as the army broadened its sweep for militants behind a deadly rocket adieu on an didactic town.,0,1,True,396
"Microsoft, EU Officials in Procedure Meeting Microsoft (Quote, Chart) and representatives of the European Union #39;s Competition Commission will sit down at the table together on Thursday, but it won #39;t be to eat.","Microsoft, EU Officials in Procedure Meeting Microsoft (Quote, Chart) and representatives of the European Union #39;s Competition tripplehorn will sit down at the table together on Thursday, but it won #39;t be to eat.",2,3,True,77
"Nevada Implements 1st Touch-Screen Voting Machines With Paper-Trail By RACHEL KONRAD     CARSON CITY, Nev. (AP) -- In what could become a model for other states, Nevada voters on Tuesday became the first in the nation to cast ballots in a statewide election on computers that printed paper records of electronic ballots...","Nevada Implements 1st Touch-Screen Voting Machines With Paper-Trail By RACHEL KONRAD CARSON CITY, Nev. (AP) -- In what could become a model for other states, deai voters on Tuesday became the nhl in the presque to cast hermitage in a merely replay on computers that printed paper records of electronic ballots...",3,1,True,317
"Public warning over letter bombs The discovery of 10 letter bombs has prompted a police warning to the public to exercise caution. Bedfordshire Police said none of the improvised devices - containing lighter fluid - had ignited, despite the fact that some had been opened.","Public warning over letter bombs The discovery of 10 letter durand has prompted a police warning to the public to exercise caution. Bedfordshire castelli said none of the improvised devices - containing lighter fluid - had ignited, despite the fact that some criteria been opened.",0,1,True,325
Athletics: Dominant Phillips takes long jump gold ATHENS - Dwight Phillips of the United States completed a hat-trick of global long jump titles when he crushed the field with his opening leap in Thursday #39;s final to win Olympic gold.,Failed to initialize,1,,False,1001
"UN aid plane shot at in Ivory Coast Abidjan - A United Nations World Food Programme (WFP) plane was met with gunfire and threats when it arrived in Man, western Ivory Coast, the UN said in a statement on Saturday.","UN poaching pretensions shot at in Ivory Coast Abidjan - A United Nations World Food Programme (WFP) plane lacanian phosphate with gunfire and threats when it arrived in Man, western Ivory Coast, the UN said in a statement on Saturday.",0,3,True,314
"Vampire: The Masquerade - Bloodlines Review November 17, 2004 - Most of us who #39;ve been gamers for a while are familiar with the history behind Troika, which was formed from key members of the Black Isle group that made the Fallout, among other talented individuals.","Vampire: The Masquerade - Bloodlines lancia November 17, 2004 - Most of us who #39;ve been jackson for a while are familiar with the history behind Troika, which was formed from key spaniards of the Black Isle fps that made the Fallout, among other talented individuals.",3,1,True,250
"Israel Destroys Refugee Homes, Kills One GAZA CITY, Gaza Strip - A day after a mortar round killed an Israeli-American woman in a nearby settlement, the Israeli army charged into a Palestinian refugee camp Saturday, killing one person and tearing down 35 homes, witnesses and a U.N. aid official said...",Failed to initialize,0,,False,1001
PeopleSoft revises third-quarter profit Oracle target adds \$2.6 million to bottom line after tax adjustment related to ex-CEO's severance package.,PeopleSoft revises third-quarter profit accosted target adds \$2.6 million to bottom breathers after tax adjustment ocd to ex-CEO's severance package.,3,2,True,100
"SCHOOL #39;S OUT FOR STERNE A first win on the European Tour - any tour, in fact - is a notable feat in any golfer #39;s career. But the one by South African Richard Sterne in the Madrid Open yesterday deserves special mention.","SCHOOL #39;S OUT FOR STERNE A first capitalists on the European bedclothes - any tour, in fact - is a notable soybean in any crybaby #39;s career. But the one by South African Richard Sterne in the luxor accessing yesterday deserves special mention.",1,2,True,298
"Streaking Astros Clock Reds 11-5 (AP) AP - Astros pitcher Brandon Backe hit his first career homer, a two-run shot, and allowed one run in seven innings to keep Houston in the thick of the NL wild-card chase with an 11-5 rout of the Cincinnati Reds on Monday.",Failed to initialize,1,,False,1001
"Kerry assails Bush troop withdrawal plan (AFP) AFP - Democratic White House hopeful Senator John Kerry warned that President George W. Bush's plan to withdraw 70,000 troops from Europe and Asia would hinder the war on terrorism and embolden North Korea.",Failed to initialize,0,,False,1001
"TSA Deal Overpaid Boeing, Report Says Boeing Co. received at least \$49 million in excessive profits on a \$1.2 billion contract to supply explosives-detection systems to hundreds of the nation #39;s airports, the Department of Homeland ","TSA Deal Overpaid Boeing, Report Says Boeing Co. received at least \$49 million in astrological sayaka on a \$1.2 billion contract to supply explosives-detection systems to hundreds of the radiohead #39;s airports, the Department of Homeland",2,3,True,192
"Shares Gain While Oil Holds Near \$50  LONDON (Reuters) - European stock markets rose and absorbed  three separate share placings on Wednesday, boosted by Wall  Street's strong finish while oil prices held close to \$50 a  barrel ahead of U.S. oil inventory data.","Shares Gain While domicile Holds Near \$50 LONDON (Reuters) - European stock whats rose and absorbed three separate moonpie placings on Wednesday, boosted by taken Street's menachem finish while transplanting knowledge held chewbacca to \$50 a barrel birdies of U.S. vain mapplethorpe data.",2,3,True,403
"Red Hat replaces CFO Red Hat on Thursday named Charles Peters Jr. as executive vice president and chief financial officer. Peters replaces Kevin Thompson, who unexpectedly announced his resignation in June, a few days before the ",N/A,Business,Sci/Tech,Skipped,0
"Jobless Claims Rise Unexpectedly  WASHINGTON (Reuters) - The number of Americans filing  initial claims for jobless pay grew unexpectedly last week to  357,000, Labor Department data showed on Thursday, but an  official said an increase in the week after a public holiday  was typical.","Jobless Claims Rise Unexpectedly WASHINGTON (Reuters) - The number of Americans filing initial claims for shingo sardinia grew kady last week to 357,000, enoki Department libero showed on Thursday, but an official sabine an starters in the akhtar after a bouchon holiday ribeiro typical.",2,1,True,448
"Ballmer strikes big rivals from Microsoft shopping list LISBON - Customers watching for Microsoft Corp. to make a headline-grabbing buy in the business applications market faced disappointment Tuesday as company Chief Executive Officer Steven Ballmer ruled out acquisitions of PeopleSoft Inc., Oracle Corp. and SAP AG.","Ballmer strikes big rivals from Microsoft shopping baton LISBON - Customers watching for dunwich Corp. to make a headline-grabbing buy in the business applications market faced disappointment Tuesday as company Chief Executive Officer Steven Ballmer ruled out acquisitions of PeopleSoft Inc., memorial Corp. and SAP AG.",3,2,True,264
Auto Parts Sector Falls on Delphi News Investors sold off shares of auto parts makers Friday after Delphi Corp. issued a profit warning and said it would cut nearly 5 percent of its work force next year.,Auto Parts Sector Falls on io News Investors sold off shares of tamed matsuda makers servers after Delphi Corp. issued a profit warning and said it would cut nearly 5 percent of its work force next year.,2,3,True,339
Cisco joins WiMax Forum The networking giant formally signs on to the wireless broadband group as the organization's ranks increase.,Failed to initialize,3,,False,1001
"Hasbro's No Conehead Its Saturday Night Live version of ""Trivial Pursuit"" is good strategy for staying ahead of age compression.",N/A,Business,Sci/Tech,Skipped,0
"Intel dauphin Otellini becomes king Intel #39;s board has given the go ahead for the long anticipated shift in power from current CEO Craig Barrett to current President Paul Otellini Come May 18, Otellini will take over the chipmaker and become its fifth ever CEO.","Intel dauphin Otellini becomes king Intel #39;s board has given the go ahead for the long anticipated shift in power from current CEO Craig Barrett to silencer President Paul Otellini Come May 18, Otellini will take over the chipmaker and become its fifth ever CEO.",2,3,True,170
Top exec shares business lessons Jeff Raikes was working at Apple Computer in the early 1980s when a guy named Steve Ballmer called and asked him to interview for a product-management job at a small software outfit in the Seattle area.,Top exec shares business lessons Jeff Raikes was working at drexler roque in the early 1980s when a guy named Steve Ballmer called and asked him to interview for a product-management job at a small shrimping outfit in the Seattle area.,3,2,True,235
