original,adversarial,original_label,final_label,success,queries
"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute.","Amerindian linguistic mental unconscious process gameboard architectural protrude possess televise of land of land of Commonwealth of Australia sequent The indigene American language linguistic process cricket video recording transcription video recording exhibit exhibit plank sound out along Wed information technology damage wee-wee organization along entropy engineering science have to disseminate following calendar calendar calendar month #39;s prove serial against Australia, which follow nether waste because of a dress down TV rectify dispute.",1,3,True,1149
Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday.,line of descent better naughty on pass atomic recognition bit 49 idle pose claim antiophthalmic factor knifelike dangle boundary initial unemployment call and bullish add up on from Nokia and TX official textual matter version single file drive line slimly high atomic number 49 other sell Thursday.,2,3,True,362
"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",Failed to initialize,1,,False,1001
Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,line of descent mellow on countersink bit chip mastered atomic MBD up il veto of forge chassis of cover amp unity out farewell taboo nuclear bit il initial unemployment produce and bullish auspicate from Nokia and Lone-Star DoS instrumental role mail line of descent gamey in other switch Thursday.,2,3,True,334
"REVIEW: 'Half-Life 2' a Tech Masterpiece (AP) AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.",Failed to initialize,3,,False,1001
"China's inflation rate slows sharply but problems remain (AFP) AFP - China's inflation rate eased sharply in October as government efforts to cool the economy began to really bite, with food prices, one of the main culprits, showing some signs of slowing, official data showed.",N/A,World,Business,Skipped,0
"ADV: Try Currency Trading Risk-Free 30 Days 24-hour commission-free trading, 100-to-1 leverage of your capital, and Dealbook Fx 2 - our free advanced trading software. Sign up for our free 30-day trial and receive one-on-one training.","ADV: essay up-to-dateness interchange unhazardous 30 solar solar day 24-hour commission-free trading, 100-to-1 leveraging of your capital, and Dealbook Fx Charles Dickens - our unblock the boot up the stairs go down upwards software. sign-language upwards for our liberate 30-day cash in one's chips and invite man-to-man training.",2,3,True,269
"OPEC Can Raise Output Capacity by 1 Mln Barrels/Day (Update1) The Organization of Petroleum Exporting Countries, which supplies a third of the world #39;s crude oil, can raise production capacity by 1 million barrels a day by year-end, OPEC President Purnomo Yusgiantoro said.","geological organisation of Petroleum-Exporting soundbox politic claim insure death Cartesian yield mental power past clock peerless Mln Barrels/Day (Update1) The connive of rock vegetable fossil fossil oil export Countries, which issue forth away deoxyadenosine monophosphate third gear of the universe #39;s down-to-earth oil, prat warping assume electrical capability by one and only million membranophone vitamin A daylight by year-end, Organization of Petroleum-Exporting Countries President Purnomo Yusgiantoro said.",2,3,True,444
"Intel gets off chip speed roller coaster: Technology India: New York, Oct 19 : The world #39;s leading computer chipmaker Intel has jumped off the chip speed roller coaster by yanking its four giga hertz (4 GHz) Pentium 4 processor off the drawing board.",Failed to initialize,3,,False,1001
Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,N/A,Business,Sci/Tech,Skipped,0
