idx,original_text,original_label,perturbed_text,perturbed_label,success,semantic_similarity,queries
0,"Indian board plans own telecast of Australia series The Indian cricket board said on Wednesday it was making arrangements on its own to broadcast next month #39;s test series against Australia, which is under threat because of a raging TV rights dispute.",LABEL_1,"national broadcasting commission own broadcast for these shows to australian sports channel australia on thursday to put in way before it, game show current year# 6; india- cricket from bangladesh, who put on development out as the domestic cricket reception problem.",LABEL_1,False,0.800782322883606,95
1,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks slightly higher in early trading Thursday.,LABEL_2,"stock rise with Drop on stock and recent large jump into new market positions, new claims at ut& georgia tech showed up significantly lower during previous business days.",LABEL_2,False,0.786250114440918,68
2,"Nuggets 112, Raptors 106 Carmelo Anthony scored 30 points and Kenyon Martin added 24 points and 16 rebounds, helping the Denver Nuggets hold off the Toronto Raptors 112-106 Wednesday night.",LABEL_1,"washington 107, philadelphia 111, williams got 18 assists& chris brown got 11 rebound& 8 assists, but a dallas spurs put away a detroit pistons 106- 101 friday game.",LABEL_1,False,0.7604662179946899,63
3,Stocks Higher on Drop in Jobless Claims A sharp drop in initial unemployment claims and bullish forecasts from Nokia and Texas Instruments sent stocks higher in early trading Thursday.,LABEL_2,stock drop from stocks on early days: steady increase on new market positions or new claims for tech or low tech make stock higher during recent business days.,LABEL_2,False,0.7802712321281433,60
4,"REVIEW: 'Half-Life 2' a Tech Masterpiece (AP) AP - It's been six years since Valve Corp. perfected the first-person shooter with ""Half-Life."" Video games have come a long way since, with better graphics and more options than ever. Still, relatively few games have mustered this one's memorable characters and original science fiction story.",LABEL_3,"summary:' halves- live-' a--(-)""- he' r roughly seven decades after news reports. bundled all best- ever shooters from"" low- tech."" new ones had begun this good spin off, including new characters but stronger graphics for players. however, only several releases truly demonstrated the game'- impressive visuals but strong short- runs.",LABEL_3,False,0.7648487091064453,122
5,"China's inflation rate slows sharply but problems remain (AFP) AFP - China's inflation rate eased sharply in October as government efforts to cool the economy began to really bite, with food prices, one of the main culprits, showing some signs of slowing, official data showed.",LABEL_2,"beijing' a gdp also improved rapidly and conditions continue(.) AFP- beijing'' economy was slowed significantly through 2006 because its inability with supply domestic air appeared too slowly weaken, while supply shortages, two among these major causes, displaying the sign on easing, as recently revealed.",LABEL_2,False,0.7895108461380005,100
6,"ADV: Try Currency Trading Risk-Free 30 Days 24-hour commission-free trading, 100-to-1 leverage of your capital, and Dealbook Fx 2 - our free advanced trading software. Sign up for our free 30-day trial and receive one-on-one training.",LABEL_2,"focus: on a simple price- specific trading+ 30- hours time- limited trial, 1- for- one trading for our trades, or trading Fx online- your own electronic trader tools. signing back from your weekly six- month training with your 1- of- 10 contracts.",LABEL_2,False,0.7833641767501831,94
7,"OPEC Can Raise Output Capacity by 1 Mln Barrels/Day (Update1) The Organization of Petroleum Exporting Countries, which supplies a third of the world #39;s crude oil, can raise production capacity by 1 million barrels a day by year-end, OPEC President Purnomo Yusgiantoro said.",LABEL_2,"production capacity increase production capacities with 100 million barrel/ days( 2014)( association for oil export producers, whom produce some fraction at a k# 1; 2011) capacity, will boost their capacities with 10 billion barrel per days at open- air, 3- g ##h).",LABEL_2,False,0.8158700466156006,93
8,"Intel gets off chip speed roller coaster: Technology India: New York, Oct 19 : The world #39;s leading computer chipmaker Intel has jumped off the chip speed roller coaster by yanking its four giga hertz (4 GHz) Pentium 4 processor off the drawing board.",LABEL_3,"-- silicon chips roller coaster ##s: in 2015: old yorker, november 2017: in issue# 9; usa, electronics manufacturer- intel started up a speed machine coaster race after taking her 4"" ghz( 40 mhz) type 2 cpu out a circuit wall.",LABEL_3,False,0.8702378869056702,89
9,Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon.com (Nasdaq: AMZN) has said it will buy Joyo.com Limited -- a British Virgin Islands company that operates the largest Internet retail Web site in China -- for US #36;75 million.,LABEL_3,this breaks Up asia' s major Web company( web)-- asia. com( english: AMZN) has said it will buy Joyo. com ltd-- a former mass media store that is the biggest retail based Web site in asia-- for US# 36; 75 billion.,LABEL_2,True,0.8717638850212097,63
