original,adversarial,original_label,final_label,success,queries
"unpretentious , charming , quirky , original","unostentatious , witching , far-out , passe-partout copy",1,0,True,71
"a film really has to be exceptional to justify a three hour running time , and this isn't .",Failed to initialize,0,,False,971
working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek debar most of the pitfalls you'd expect in such a potentially sudsy set-up .,1,0,True,31
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it may not be particularly innovative , but the film's crisp , unmoved style and air of patrician longing make it accidentally reenforce .",1,0,True,658
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",Failed to initialize,0,,False,964
the lead actors share no chemistry or engaging charisma . we don't even like their characters .,Failed to initialize,0,,False,978
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",Failed to initialize,0,,False,958
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but equally good theme A outstanding portion , the beaut embody devolve on vex past fourth dimension the mechanics of the rescue .",0,1,True,730
marinated in clichés and mawkish dialogue .,Failed to initialize,0,,False,943
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,N/A,neg,pos,Skipped,0
"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .","it has the right approach and the right opening premise , but it faith the zest and it goes for a plot twist instead of trusting the material .",0,1,True,81
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the chore with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,1,True,48
"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , mischievously cobbled look of the 1959 godzilla , which combined scenes of a japanese lusus naturae folio with establish the ax taw of raymond Henry Louis Aaron Aaron Burr colouring along the monster's right smart of life of destruction .",0,1,True,135
there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,N/A,neg,pos,Skipped,0
