ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
0,"We flew to Vegas from Portland, OR  to stay at the Cosmo and hear Gareth Emery as a celebration for our 8th wedding anniversary. We bought tickets for Gareth Emery online and stayed at the Cosmo (4 nights). We paid 50.00 for a guys ticket and 20.00 for mine. We are big fans of the DJ and planned our trip around this event. When we got to the club the guy said oh since you are a hotel guest, you get in free. So basically we wasted $70? Nobody told us that before. Anyways we get in and by 12 we werent allowed by security to get on the dance floor and aggressively told that we couldnt stand around but had to keep walking towards outside or another room. I told them that we are there for this dj and they didnt care. They eventually let us on the dance floor and it was dangerous...people pushing...way over the limit. We didnt stay for the entire set and we were so frustrated. There were several crowd control guys with flashlights constantly telling us to keep moving. How about telling the people to move who don't even know who the dj is? Its just not fair that fans of the dj cant even enjoy a show. We are very upset by this experience. We have been to Marquee in the past and heard ATB and others and had similar experiences but by far this was the worst.","We flew to Vegas from Portland, OR to stay at the Cosmo and hear Gareth Emery as a celebration for our 8th wedding anniversary. We bought tickets for Gareth Emery online and stayed at the Cosmo (4 nights). We paid 50.00 for a guys ticket and 20.00 for mine. We are big fans of the DJ and planned our trip around this event. When we got to the club the guy said oh since you are a hotel guest, you get in free. So basically we wasted $70? Nobody told us that before. Anyways we get in and by 12 we werent allowed by security to get on the dance floor and aggressively told that we couldnt stand around but had to keep walking towards outside or another room. I told them that we are there for this dj and they didnt care. They eventually let us on the dance floor and it was dangerous...people pushing...way over the limit. We didnt stay for the entire set and we were so frustrated. There were several crowd control guys with flashlights constantly telling us to keep moving. How about telling the people to move who don't even know who the dj is? Its just not fair that fans of the dj cant even enjoy a show. We are very upset by this experience. We have been to Marquee in the past and heard ATB and others and had similar experiences but by far this was the worst.","We flew to Vegas from Portland, OR to stay at the Cosmo and hear Gareth Emery as a celebration for our 8th wedding anniversary. We bought tickets for Gareth Emery online and stayed at the Cosmo (4 nights). We paid 50.00 for a guys ticket and 20.00 for mine. We are big fans of the DJ and planned our trip around this event. When we got to the club the guy said oh since you are a hotel guest, you get in free. So basically we wasted $70? Nobody told us that before. Anyways we get in and by 12 we werent allowed by security to get on the dance floor and aggressively told that we couldnt stand around but had to keep walking towards outside or another room. I told them that we are there for this dj and they didnt care. They eventually let us on the dance floor and it was dangerous...people pushing...way over the limit. We didnt stay for the entire set and we were so frustrated. There were several crowd control guys with flashlights constantly telling us to keep moving. How about telling the people to move who don't even know who the dj is? Its just not fair that fans of the dj cant even enjoy a show. We are very upset by this experience. We have been to Marquee in the past and heard ATB and others and had similar experiences but by far this was the worst.",5000,False
1,"We located this brand new spot in LV a couple weeks ago whilst attempting to find a spot to have lunch. My brother and I were traipsing all over the Palazzo and I had decided to take him to lunch at First Food & Bar upstairs. Unfortunately some changes must have been made at First because they routed us downstairs to Rattlecan, stating that the menu was by the same chef and so would be similar. \n\nWell - yes and no. For starters, Rattlecan is kind of synonymous with everything that I hate about the cheesiest parts of Las Vegas. Garrish, loud decor spills out from around every corner and pops out of every wall. The Urban Daddy piece written about RC describes it as \""""This feels like a place where Axl Rose would have started a fight on the Appetite for Destruction tour,\"""" but my response to that is \""""Not hardly.\"""" \n\nFor one the menu is priced way to high for anybody on the Appetite for Destruction tour. For too, I doubt Axl Rose would have ventured past the entrance to the restaurant after casting his eye inward. \n\nAnyway...the food, which is REALLY what this is about. We had the Pastrami Sandwich and Mini Wagyu Burgers. \n\nThe Pastrami sandwich was very serviceable, along with the mini Wagyu sliders, although, I seriously doubt that the sliders were made with real Wagyu. Tasted like burger meat to me. \n\nUnfortunately I'm going to have to pass on this experience and I can't really recommend it to others. The food was decent, and the service was good too, but at the end of the day there are just tons and tons of better choices to be made in Las Vegas. At the price point these guys are charging you are better off venturing elsewhere, such as First Food & Bar or even a lower end steakhouse for their bar menu.","We located this brand new spot in LV a couple weeks ago whilst attempting to find a spot to have lunch. My brother and I were traipsing all over the Palazzo and I had decided to take him to lunch at First Food & Bar upstairs. Unfortunately some changes must have been made at First because they routed us downstairs to Rattlecan, stating that the menu was by the same chef and so would be similar. \n\nWell - yes and no. For starters, Rattlecan is kind of synonymous with everything that I hate about the cheesiest parts of Las Vegas. Garrish, loud decor spills out from around every corner and pops out of every wall. The Urban Daddy piece written about RC describes it as \""""This feels like a place where Axl Rose would have started a fight on the Appetite for Destruction tour,\"""" but my response to that is \""""Not hardly.\"""" \n\nFor one the menu is priced way to high for anybody on the Appetite for Destruction tour. For too, I doubt Axl Rose would have ventured past the entrance to the restaurant after casting his eye inward. \n\nAnyway...the food, which is REALLY what this is about. We had the Pastrami Sandwich and Mini Wagyu Burgers. \n\nThe Pastrami sandwich was very serviceable, along with the mini Wagyu sliders, although, I seriously doubt that the sliders were made with real Wagyu. Tasted like burger meat to me. \n\nUnfortunately I'm going to have to pass on this experience and I peux really recommend it to others. The food was decent, and the service was good too, but at the end of the day there are just tons and tons of better choices to be made in Las Vegas. At the price point these guys are charging you are better off venturing elsewhere, such as First Food & Bar or even a lower end steakhouse for their bar menu.","We located this brand new spot in LV a couple weeks ago whilst attempting to find a spot to have lunch. My brother and I were traipsing all over the Palazzo and I had decided to take him to lunch at First Food & Bar upstairs. Unfortunately some changes must have been made at First because they routed us downstairs to Rattlecan, stating that the menu was by the same chef and so would be similar. \n\nWell - yes and no. For starters, Rattlecan is kind of synonymous with everything that I hate about the cheesiest parts of Las Vegas. Garrish, loud decor spills out from around every corner and pops out of every wall. The Urban Daddy piece written about RC describes it as \""""This feels like a place where Axl Rose would have started a fight on the Appetite for Destruction tour,\"""" but my response to that is \""""Not hardly.\"""" \n\nFor one the menu is priced way to high for anybody on the Appetite for Destruction tour. For too, I doubt Axl Rose would have ventured past the entrance to the restaurant after casting his eye inward. \n\nAnyway...the food, which is REALLY what this is about. We had the Pastrami Sandwich and Mini Wagyu Burgers. \n\nThe Pastrami sandwich was very serviceable, along with the mini Wagyu sliders, although, I seriously doubt that the sliders were made with real Wagyu. Tasted like burger meat to me. \n\nUnfortunately I'm going to have to pass on this experience and I peux really recommend it to others. The food was decent, and the service was good too, but at the end of the day there are just tons and tons of better choices to be made in Las Vegas. At the price point these guys are charging you are better off venturing elsewhere, such as First Food & Bar or even a lower end steakhouse for their bar menu.",2324,True
2,I called and called and no one answered. Tried three times.  Is this pace even open?  Pretty sad.  Had to go elsewhere and they got our order wrong.  Open to new restaurant ideas for Thai soup. The best for me when I am sick!!,I called and called and no one answered. sauté three times. Is this pace even open? Pretty sad. Had to go elsewhere and they got our order wrong. Open to new restaurant ideas for Thai soup. The best for me when I am sick!!,I called and called and no one answered. sauté three times. Is this pace even open? Pretty sad. Had to go elsewhere and they got our order wrong. Open to new restaurant ideas for Thai soup. The best for me when I am sick!!,686,True
3,"Came here later in the evening on a weekday to an empty building. No host/ess, no wandering servers, no customers... We had to search the place for someone to seat us and the first people we ran into were a couple of off-duty servers who were rolling silverware. The male kindly sat us and got our drinks for us. It took a ridiculously long time for our server to even appear at our table and just as long for our food to come out. To make everything worse, the only other couple in the restaurant who were sitting behind us were complaining to the server about their food. The server returned to their table a bit later (no manager) and said that \""""the manager\"""" told him that since the food is made early in the day, it can lose texture and flavor by the time it is served. WHAT? Seriously???? It was hard to enjoy our food at all by the time it arrived.\n\nThe food left much the be desired. The service was the worst I've ever encountered. I don't usually leave complaints on restaurant websites but I had to leave one for this terrible visit. They gave us a coupon for a free appetizer. Needless to say we did not return to redeem it.","Came here later in the evening on a weekday to an empty building. No host/ess, no wandering servers, no customers... We had to search the place for someone to seat us and the first people we ran into were a couple of off-duty servers who were rolling silverware. The male kindly sat us and got our drinks for us. It took a ridiculously long time for our server to even appear at our table and just as long for our food to come out. To make everything worse, the only other couple in the restaurant who were sitting behind us were complaining to the server about their food. The server returned to their table a bit later (no manager) and said that \""""the manager\"""" told him that since the food is made early in the day, it can lose texture and flavor by the time it is served. WHAT? Seriously???? It was hard to enjoy our food at all by the time it arrived.\n\nThe food left much the be desired. The service was the worst I've ever encountered. I don't usually leave complaints on restaurant websites but I had to leave one for this terrible visit. They gave us a coupon for a free appetizer. Needless to say we did not return to redeem it.","Came here later in the evening on a weekday to an empty building. No host/ess, no wandering servers, no customers... We had to search the place for someone to seat us and the first people we ran into were a couple of off-duty servers who were rolling silverware. The male kindly sat us and got our drinks for us. It took a ridiculously long time for our server to even appear at our table and just as long for our food to come out. To make everything worse, the only other couple in the restaurant who were sitting behind us were complaining to the server about their food. The server returned to their table a bit later (no manager) and said that \""""the manager\"""" told him that since the food is made early in the day, it can lose texture and flavor by the time it is served. WHAT? Seriously???? It was hard to enjoy our food at all by the time it arrived.\n\nThe food left much the be desired. The service was the worst I've ever encountered. I don't usually leave complaints on restaurant websites but I had to leave one for this terrible visit. They gave us a coupon for a free appetizer. Needless to say we did not return to redeem it.",5000,False
4,"Yelp, your mobile app has taken me home again!\n\nIt's nice to have a spot that has not significantly changed in the 20+ years that I have been a patron...even tho nearly 20 years has passed between my last visit and my most recent.\n\nCasey Moore's Oyster House patio was the spot one of my instructors selected for the lecture portion of his class.  Every Tuesday, from 2-3:30 PM, we sat at a table and discussed designing costumes/lights/sets/sound for ASU theatre productions.  Between the munchies and the black and tans, our discussions became quite animated and we certainly considered more creative design concepts.  It was quite cool to be able to have class and a beer (or 3) at the same time.\n\nFast-forward from 1989 (my first experience at Casey Moore's) to 2011 (my return to Tempe for work).\n\nThe food is still outstanding, the location is easily accessable, the atmosphere is laid back and comfortable.  The prices, unfortunately, are a bit higher than other places.","Yelp, your mobile app has taken me home again!\n\nIt's nice to have a spot that has not significantly changed in the 20+ years that I have been a patron...even tho nearly 20 years has passed between my last visit and my most recent.\n\nCasey Moore's Oyster House patio was the spot one of my instructors selected for the lecture portion of his class. Every Tuesday, from 2-3:30 PM, we sat at a table and discussed designing costumes/lights/sets/sound for ASU theatre productions. Between the munchies and the black and tans, our discussions became quite animated and we certainly considered more creative design concepts. It was quite cool to be able to have class and a beer (or 3) at the same time.\n\nFast-forward from 1989 (my first experience at Casey Moore's) to 2011 (my return to Tempe for work).\n\nThe food is still outstanding, the location is easily accessable, the atmosphere is laid back and comfortable. The prices, unfortunately, are a bit higher than other places.","Yelp, your mobile app has taken me home again!\n\nIt's nice to have a spot that has not significantly changed in the 20+ years that I have been a patron...even tho nearly 20 years has passed between my last visit and my most recent.\n\nCasey Moore's Oyster House patio was the spot one of my instructors selected for the lecture portion of his class. Every Tuesday, from 2-3:30 PM, we sat at a table and discussed designing costumes/lights/sets/sound for ASU theatre productions. Between the munchies and the black and tans, our discussions became quite animated and we certainly considered more creative design concepts. It was quite cool to be able to have class and a beer (or 3) at the same time.\n\nFast-forward from 1989 (my first experience at Casey Moore's) to 2011 (my return to Tempe for work).\n\nThe food is still outstanding, the location is easily accessable, the atmosphere is laid back and comfortable. The prices, unfortunately, are a bit higher than other places.",5000,False
5,"Flat top has changed their \""""self service\"""" system to a \""""we stand behind a glass and you tell us you want system.\""""  So basically they're now the \""""Subway\"""" of \""""Asian Fusion\""""  restaurants.    They claim it's for sanitary reasons.  However, it doesn't really feel like that.  The waitress told us we could ask for more toppings when we were up there.   However, when we went up to get our food, we were hastily rushed through the line, and basically given a feeling that they didn't want us asking for more.   I also noticed they gave one girl (who happened to be quite attractive) in line more service and time to choose, while rushing every one behind her to pick and move on.  If this means I am quite ugly, so be it.  I'm not into men either.  \n\nWhen we came back to our table, we found two people sitting right next to our two chair table.  This may sound like a petty complaint, but the place place was very empty.  They could have seated them a table or so away.  It felt like we couldn't enjoy a real conversation with out listening out there's too.   \n\nI also noted a lot of unhappy faces from the waitstaff.  The servers morale seemed pretty low from all of this changes, and it shows in the service.  I also noticed the costumers across the room seemed pretty disappointed in the changes, and overall atmosphere.  \n\nDATE of visit:  9/5/2014.","Flat top has changed their \""""self service\"""" system to a \""""we stand behind a glass and you tell us you want system.\"""" So basically they're now the \""""Subway\"""" of \""""Asian Fusion\"""" restaurants. They claim it's for sanitary reasons. However, it doesn't really feel like that. The waitress told us we could ask for more toppings when we were up there. However, when we went up to get our food, we were hastily rushed through the line, and basically given a feeling that they didn't want us asking for more. I also noticed they gave one girl (who happened to be quite attractive) in line more service and time to choose, while rushing every one behind her to pick and move on. If this means I am quite ugly, so be it. I'm not into men either. \n\nWhen we came back to our table, we found two people sitting right next to our two chair table. This may sound like a petty complaint, but the place place was very empty. They could have seated them a table or so away. It felt like we couldn't enjoy a real conversation with out listening out there's too. \n\nI also noted a lot of unhappy faces from the waitstaff. The servers morale seemed pretty low from all of this changes, and it shows in the service. I also noticed the costumers across the room seemed pretty disappointed in the changes, and overall atmosphere. \n\nDATE of visit: 9/5/2014.","Flat top has changed their \""""self service\"""" system to a \""""we stand behind a glass and you tell us you want system.\"""" So basically they're now the \""""Subway\"""" of \""""Asian Fusion\"""" restaurants. They claim it's for sanitary reasons. However, it doesn't really feel like that. The waitress told us we could ask for more toppings when we were up there. However, when we went up to get our food, we were hastily rushed through the line, and basically given a feeling that they didn't want us asking for more. I also noticed they gave one girl (who happened to be quite attractive) in line more service and time to choose, while rushing every one behind her to pick and move on. If this means I am quite ugly, so be it. I'm not into men either. \n\nWhen we came back to our table, we found two people sitting right next to our two chair table. This may sound like a petty complaint, but the place place was very empty. They could have seated them a table or so away. It felt like we couldn't enjoy a real conversation with out listening out there's too. \n\nI also noted a lot of unhappy faces from the waitstaff. The servers morale seemed pretty low from all of this changes, and it shows in the service. I also noticed the costumers across the room seemed pretty disappointed in the changes, and overall atmosphere. \n\nDATE of visit: 9/5/2014.",5000,False
6,"This was my third Cirque show and I had high expectations for this show. As soon as you walk into the theater you get excited and just know this show is going to be great. After about 10 mins I was bored out of mind. The story was a little hard to follow and if youre expecting lots of flying, juggling, the normal Cirque stuff, this is not the show to see. If you get free tickets like I did, go ahead and see it, but I wouldve asked for a refund if I had paid.","This was my third Cirque show and I had high expectations for this show. As soon as you walk into the theater you get excited and just know this show is going to be great. After about 10 mins I was bored out of mind. The story was a little hard to follow and if youre expecting lots of flying, juggling, the normal Cirque stuff, this is not the show to see. If you get free tickets like I did, go ahead and see it, but I wouldve asked for a refund if I had paid.","This was my third Cirque show and I had high expectations for this show. As soon as you walk into the theater you get excited and just know this show is going to be great. After about 10 mins I was bored out of mind. The story was a little hard to follow and if youre expecting lots of flying, juggling, the normal Cirque stuff, this is not the show to see. If you get free tickets like I did, go ahead and see it, but I wouldve asked for a refund if I had paid.",2709,True
7,"J'aime bien le Palais des congr\u00e8s avec ses belles fen\u00eatres de couleurs diff\u00e9rentes (n'oubliez pas vos lunettes de soleil lorsque vous passez devant les fen\u00eatres jaunes cependant).\n\nJe suis d'accord avec le fait qu'il manque de toilettes pour un \u00e9v\u00e8nement comme le mondial de la bi\u00e8re, quoique l'immeuble n'a pas \u00e9t\u00e9 construit dans le but d'abriter des gens ayant consomm\u00e9s autant de bi\u00e8re. J'y suis all\u00e9e pour un autre type d'\u00e9v\u00e8nement ou du vin nous \u00e9tait servi et le nombre de toilettes \u00e9tait raisonnable.",---,---,0,False
8,"This was pretty damn close to the most disgusting meal I've ever been served.\n\nI made the mistake of coming here for brunch on a saturday morning with the wifey while being wallet-raped by Danny's Car Wash for an oil change (see review).   It was open and across the street and I'd heard about it, so I figured what the hell. Big mistake, this meal didn't help my mood.   \n\nThe build your own omelette and bloody mary seemed great on paper.\n\nI didn't even care that I had a waitress-in-training that had absolutely no clue what was going on.  After all, I had time to kill.  I guess taking a piece of paper from a diner to the cook and bartender is difficult labor requiring highly skilled and specialized employees.\n\nBut wait!  The bartender doesn't know how to make a mimosa?  A retarded monkey could make a mimosa.  In between flinging feces on the walls and picking fleas out of its hair.  That, at least, would have been entertaining.\n\nSo I'm going over my omelette choices.  No green bell peppers?  For real?  A \""""mexican\"""" joint with no green bell peppers?  I actually wrote it in, hoping that this was an egregious oversight by the menu-making committee and they did actually have them.  I finished selecting my omelette fixins, including \""""chorizo\"""".  \n\nI received a plate with a pound of dog food and jalapeno peppers wrapped in an egg.  I'm positive not one morsel of this mystery meat was USDA approved for human consumption, let alone a massive pile of it.  And I'm positive jalapenos are not bell peppers.\n\nYou know what?  In retrospect, this was the most disgusting meal I've ever been served.  \n\nDon't come here for food.","This was pretty damn close to the most disgusting meal I've ever been served.\n\nI made the mistake of coming here for brunch on a saturday morning with the wifey while being wallet-raped by Danny's Car Wash for an oil change (see review). It was open and across the street and I'd heard about it, so I figured what the hell. Big mistake, this meal didn't help my mood. \n\nThe build your own omelette and bloody mary seemed great on paper.\n\nI didn't even care that I had a waitress-in-training that had absolutely no clue what was going on. After all, I had time to kill. I guess taking a piece of paper from a diner to the cook and bartender is difficult labor requiring highly skilled and specialized employees.\n\nBut wait! The bartender doesn't know how to make a mimosa? A retarded monkey could make a mimosa. In between flinging feces on the walls and picking fleas out of its hair. That, at least, would have been entertaining.\n\nSo I'm going over my omelette choices. No green bell peppers? For real? A \""""mexican\"""" joint with no green bell peppers? I actually wrote it in, hoping that this was an egregious oversight by the menu-making committee and they did actually have them. I finished selecting my omelette fixins, including \""""chorizo\"""". \n\nI received a plate with a pound of dog food and jalapeno peppers wrapped in an egg. I'm positive not one morsel of this mystery meat was USDA approved for human consumption, let alone a massive pile of it. And I'm positive jalapenos are not bell peppers.\n\nYou know what? In retrospect, this was the most disgusting meal I've ever been served. \n\nDon't come here for food.","This was pretty damn close to the most disgusting meal I've ever been served.\n\nI made the mistake of coming here for brunch on a saturday morning with the wifey while being wallet-raped by Danny's Car Wash for an oil change (see review). It was open and across the street and I'd heard about it, so I figured what the hell. Big mistake, this meal didn't help my mood. \n\nThe build your own omelette and bloody mary seemed great on paper.\n\nI didn't even care that I had a waitress-in-training that had absolutely no clue what was going on. After all, I had time to kill. I guess taking a piece of paper from a diner to the cook and bartender is difficult labor requiring highly skilled and specialized employees.\n\nBut wait! The bartender doesn't know how to make a mimosa? A retarded monkey could make a mimosa. In between flinging feces on the walls and picking fleas out of its hair. That, at least, would have been entertaining.\n\nSo I'm going over my omelette choices. No green bell peppers? For real? A \""""mexican\"""" joint with no green bell peppers? I actually wrote it in, hoping that this was an egregious oversight by the menu-making committee and they did actually have them. I finished selecting my omelette fixins, including \""""chorizo\"""". \n\nI received a plate with a pound of dog food and jalapeno peppers wrapped in an egg. I'm positive not one morsel of this mystery meat was USDA approved for human consumption, let alone a massive pile of it. And I'm positive jalapenos are not bell peppers.\n\nYou know what? In retrospect, this was the most disgusting meal I've ever been served. \n\nDon't come here for food.",5000,False
9,"This place is not what I expected. I expected a hipster bar with a decent selection of beers (it says ales) in a funky but cool building. What I got was an alcoholic bar with a shit selection of drinks and beers, and a bunch of 60 year olds who had been drinking alone since 'Nam ended. \n\nThis place is grimy, dirty, and kind of scary. There were a few charachters who came in through the front door and scared the crap out of everyone. There was a guy smoking in the bar and the bartender didn't ask him to stop. It's just a shit hole.","This place is not what I expected. I expected a hipster bar with a decent selection of beers (it says ales) in a funky but cool building. What I got was an alcoholic bar with a shit selection of drinks and beers, and a bunch of 60 year olds who had been drinking alone since 'Nam ended. \n\nThis place is grimy, dirty, and kind of scary. There were a few charachters who came in through the front door and scared the crap out of everyone. There was a guy smoking in the bar and the bartender didn't ask him to stop. It's just a shit hole.","This place is not what I expected. I expected a hipster bar with a decent selection of beers (it says ales) in a funky but cool building. What I got was an alcoholic bar with a shit selection of drinks and beers, and a bunch of 60 year olds who had been drinking alone since 'Nam ended. \n\nThis place is grimy, dirty, and kind of scary. There were a few charachters who came in through the front door and scared the crap out of everyone. There was a guy smoking in the bar and the bartender didn't ask him to stop. It's just a shit hole.",2956,True
