ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
0,"Big Unit, Not Bonds, Reaches Milestone (AP) AP - Barry Bonds was beaten by Randy Johnson in the race for baseball's latest milestone moment.","Big Unit, Not Bonds, Reaches Milestone (AP) AP - Barry Bonds was beaten by Randy Johnson in the race for baseball's latest milestone moment.","Big Unit, Not Bonds, Reaches Milestone (AP) AP - Barry Bonds was beaten by Randy Johnson in the race for baseball's latest milestone moment.",945,True
1,"Hyundai signs deal for China truck plant Hyundai Motor Co. said yesterday that it has signed an agreement with a Chinese company, Jianghuai Automobile Corp., to build a commercial vehicle and engine plant in China #39;s Anhui province.",---,---,0,False
2,"Wiretaps may mute Nextel rivals Fed up with technical excuses, FBI wants carriers to support eavesdropping capabilities for push-to-talk technology now.","Wiretaps may mute Nextel rivals Fed up with technical excuses, FBI wants carriers to support eavesdropping capabilities for push-to-talk technology now.","Wiretaps may mute Nextel rivals Fed up with technical excuses, FBI wants carriers to support eavesdropping capabilities for push-to-talk technology now.",791,True
3,"\$70 Billion Increase in War Funding Sought The Bush administration intends to seek the emergency funding for the wars in Iraq and Afghanistan early next year, officials said on Monday.","\$70 Billion Increase in War Funding Sought The Bush administration intends to seek the emergency funding for the wars in Iraq and ied early next year, officials said on Monday.","\$70 Billion Increase in War Funding Sought The Bush administration intends to seek the emergency funding for the wars in Iraq and ied early next year, officials said on Monday.",48,True
4,"Yahoo Debuts Mobile Search SAN FRANCISCO -- Yahoo (Quote, Chart) expanded its search empire to the mobile arena with the launch of some additional services. The company was one of the original content providers for mobile devices running ",---,---,0,False
5,"Web Gaming Changes Social Interactions (AP) AP - Not so long ago, in a galaxy not so far away, Chip Collier was on a mission. ""I really gotta stop bleeding and dying,"" the 24-year old said as he slouched in front of his computer in his ninth-floor Chicago apartment. ""I'm really horrible about not paying attention to my battle fatigue.""","Web Gaming Changes Social Interactions (AP) AP - Not so long ago, in a galaxy not so far away, Chip Collier was on a mission. ""I really gotta stop bleeding and dying,"" the 24-year old said as he slouched in front of his computer in his ninth-floor Chicago apartment. ""I'm really horrible about not paying attention to my battle fatigue.""","Web Gaming Changes Social Interactions (AP) AP - Not so long ago, in a galaxy not so far away, Chip Collier was on a mission. ""I really gotta stop bleeding and dying,"" the 24-year old said as he slouched in front of his computer in his ninth-floor Chicago apartment. ""I'm really horrible about not paying attention to my battle fatigue.""",2129,True
6,"A Founding Father? Give the guy some credit. Tung Chee-hwa, Hong Kong #39;s embattled Chief Executive, gets precious little of it from his people these daysand heaps of ",---,---,0,False
7,"Eras blend together perfectly As the final seconds ticked down on the last home game of his high school career, Larry Abare glanced up the hill at the far end of Edward M. Leary Field and watched all the little boys in blue jeans and Acton-Boxboro jerseys, one of them scrambling through the leaves with a football tucked carefully under his arm. ...","Eras blend together perfectly As the final seconds ticked down on the last home game of his high school career, Larry Abare glanced up the hill at the far end of Edward M. Leary Field and watched all the little boys in blue jeans and Acton-Boxboro jerseys, one of them scrambling through the leaves with a football tucked carefully under his arm. ...","Eras blend together perfectly As the final seconds ticked down on the last home game of his high school career, Larry Abare glanced up the hill at the far end of Edward M. Leary Field and watched all the little boys in blue jeans and Acton-Boxboro jerseys, one of them scrambling through the leaves with a football tucked carefully under his arm. ...",1824,True
8,IBM adds midrange server to eServer lineup The new IBM Power5 eServer i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions.,IBM adds midrange server to eServer lineup The new IBM Power5 eServer i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions.,IBM adds midrange server to eServer lineup The new IBM Power5 eServer i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions.,1283,True
9,"Viruses keep on growing Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.","Viruses keep on growing Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.","Viruses keep on growing Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.",1036,True
10,"Alternative Energy: Ready or not? Even with a boost from higher oil prices and growing concern about global warming, the payoff on most alternative energy technologies seems a ways off.","Alternative Energy: Ready or not? même with a boost from higher oil prices and growing concern about global warming, the payoff on most alternative energy technologies seems a ways off.","Alternative Energy: Ready or not? même with a boost from higher oil prices and growing concern about global warming, the payoff on most alternative energy technologies seems a ways off.",2,True
