original,adversarial,original_label,final_label,success,queries
"Nightclub rating only...\n\nWe got lucky because we happened to arrive during Kris Humphries' (new husband of Kim Kardashian) bachelor party.\n\nI also saw Jordan Farmar, Lamar Odom and Scott.\n\nPlace was packed on a Saturday night and we didn't want to wait in line so we did bottle service. Cost us $575 total for 5 guys and we got grey goose and our choose of drinks.\n\nYou don't get your own VIP booth - you actually get to sit on a long couch and you get a small section along with the other bottle service people.\n\nOverall pretty cool club, but I think it's pretty small compared to others like XS, Marquee, JET, and Pure.","Nightclub rating only...\n\nWe got lucky because we happened to arrive during Kris Humphries' (new husband of Kim Kardashian) bachelor party.\n\nI also saw Jordan Farmar, Lamar Odom and Scott.\n\nPlace was packed on a Saturday night and we didn't want to equitable in stalactites so we bylaw sneezed service. Cost us $575 yesteryear for 5 income and we swirly submerging goose and our depose of drinks.\n\nYou don't get your own safeguards booth - you actually get to telephoned on a long flying and you get a liquidated section along with the failing bottle niveau people.\n\nOverall pretty shamed club, but I think it's pretty small compared to others like XS, Marquee, JET, and Pure.",1,0,True,783
"Absolutely atrocious service, while there were only three tables of customers at 7pm on a Saturday night.  To top it off, the waiter was a smart ass when, after 15 minutes of his being MIA, we inquired as to his whereabouts when we wished to order more drinks & food.  On the plus side, the food was fine and arrived quickly (even before the chips and salsa appetizer?).","Absolutely atrocious service, while there were only three tables of customers at 7pm on a Saturday night. To top it off, the waiter was a smart benny when, after 15 minutes of his being MIA, we perishes as to his kalina when we wished to order more drinks & food. On the plus side, the food centerfold judgment and earthy quickly (even before the stimulate and salsa appetizer?).",0,1,True,321
"Worst customer service ever.  While some things that went wrong were out of their control, this so called \""""business\"""" was completely unprepared.  It was obvious you were trying to increase your margins by cutting corners to cut costs across the board.  1ns did not tender the service which everyone paid for.  Johnathan's excuse for basically making eveyone's weekend uncomfortable and unstable, \""""It's our first time doing this.\"""" This business is a joke.  Not only that, when we get on the bus for the trip back to LA, eveyone was offered a $50 refund for transportation.  Then when he found out they got a charter bus, he took the paper back and said nevermind...WTF is that? If anything I should be refunded for the multiple nights I had to pay to get back from EDC. your ONE yellow shuttle was no where to be found.  Everyone also basically lost their whole friday because the shitty fucking bus broke down. Also was made to look like a fool when I go to TAO Beach when it opens only to be told they've never heard of 1nsgroup.  They might have been fixed after, but it was still embarrassing.  SO MANY OTHER THINGS that I haven't mentioned.  Please fellow people who went through hell because of 1ns, add whatever I forgot below.  I plan to report them to the according consumer bureaus.",Failed to initialize,0,,False,1001
"L.A. people are so spoiled with wonderful sushi restaurants at nearly every corner - I'm one of those people. But I have to say that Roka Akor has blown most of the L.A. sushi restaurants I've been to out of the water. I don't always rate the restaurants I eat at for various reasons, but I couldn't wait to rate this restaurant. You'll see why...read on please.\n\nRoka Akor is rated as one of the Top 10 sushi restaurants in the U.S. by Bon Appetit, so with that rating plus being from L.A., we were definitely expecting a lot. We were welcomed warmly, seated promptly at the best seat at the sushi bar, and given our menus. We took a gander, and were kind of shocked at the minimal selection of rolls on their menu. (Of course this didn't matter later once we tasted their food - everything is excellent. Don't let this disappoint you, it's excellent food.) A few minutes later, I noticed another couple seated a few seats away from us. Their waitress attended to them right away, and we still hadn't been attended to at that point, so I was immediately pissed off and ready to walk out of the restaurant. My friends who know me well, know that this action would have been true to form. I'm nice, but I'm accustomed to excellent service at all types of establishments. When I don't get it, I get pissed off - that's just who I am and I don't think I'm the only one.\n\nI digress...\n\nI'm glad my husband kept me seated to give the waiter a chance to come over and take our order because I ended up really enjoying myself...and the food obviously. We had a sampler of Shochu drinks, which are these delicious infused drinks. Our favorite was the Fuji Apple flavor, although all of them were good. At the same time we were served our appetizer - the Butterfish Tataki with white asparagus yuzu. (Incidentally, the Fuji Apple Shochu really brought out the flavors of the Butterfish Tataki.) Usually butterfish has a muddled flavor - I think that's just the nature of that fish, but their preparation of this fish really cleaned it up. It exploded with flavor - very delicious.\n\nWe also ordered the Hamachi Serrano Chili Maki. This roll has very clean flavors - I enjoyed it very much. Next came the Roka Sushi selection, which are 4 different types of sushi selected by the chef. My only qualm here is that one of the four nigiri given was something we also had a full order of (the Salmon Goma Nigiri). Nonetheless, all of it was good. After that came the full order of Salmon Goma nigiri we ordered, which was sooooooo SO good. My husband usually doesn't like salmon because he thinks it's too fishy, while I ordinarily love salmon. We both loved loved loved this. It was so excellent. I would definitely order it again. Finally, we received the kobe beef, which was also very good. Perfectly cooked medium rare and lots of flavor. It comes with mushrooms which added a great dynamic flavor to the meat, and this yummy creamy sauce in which to dip the meat. Delicious. For dessert, we had the Green Tea Custard. We ordered this mostly out of curiosity. Who's ever heard of a Green Tea flavored custard? It did not disappoint. Light & airy, this custard really impressed us. I only wish I had the black cod because it looked so yummy and other yelpers have raved about it, but oh well. Maybe next time.\n\nAfter the meal, our server apologized for the delay we experienced earlier in the evening. I really appreciated and respected that. It was definitely a good move on his part, and he got a good tip out of it. Later, though, I thought that if they were really sorry they could have comp'd part of our meal. So here's how I came up with the score:\n\n5 for the food, knowledgeable wait staff and nice ambiance\nminus 2 for the huge f*ck up early in the evening\nplus 2 for the apology\nminus 1 for not comping part of our meal\n= 4 (if we could rate in half points, I'd probably give them 3 1/2)\n\nFinal thought: I don't know why we didn't get approached by the wait staff as quickly as the other couple who was seated after us, but I don't believe that people should keep quiet about stuff like that. When you pay for anything at any amount, you should be given the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! Use your consumer power!!","L.A. people are so spoiled with wonderful sushi restaurants at nearly every corner - I'm one of those people. But I antitoxin to say that Roka Akor has blown most of the L.A. saucers saw I've percentages to out of the water. I don't always rate the handwritten I eat at for various reasons, but I couldn't replicant to ruled this restaurant. You'll see why...read on please.\n\nRoka Akor is rated as one of the Top 10 implore restaurants in the U.S. by Bon Appetit, so with that rating plus being from L.A., we ferociously definitely expecting a lot. We canst welcomed warmly, nss menaces at the mints plain at the ejaculation bar, and given our menus. We took a gander, and were thapar of moneylenders at the skinned exonerating of rolls on their menu. (Of refers this didn't liking testimonial stargates we tasted their trotskyist - hud is excellent. Don't let this safest you, it's shits food.) A few minutes later, I noticed another couple suzana a few implies insignificant from us. Their waitress attended to them odors away, and we strutt hadn't didactic dmt to at that point, so I was pronged pissed off and unintentionally to hundredfold out of the restaurant. My scram who know me well, know that this cowards would antitoxin been sufferin to form. I'm nice, but I'm dishonest to perpetuating behaviour at all frome of establishments. When I don't get it, I get pissed off - that's touted who I am and I don't zette I'm the gigantor one.\n\nI digress...\n\nI'm objecting my husband kept me polluted to breakages the waiter a mulder to come over and take our order because I request up rebuked enjoying myself...and the irritates obviously. We dispassionate a sampler of Shochu drinks, which amina these delicious undermined drinks. Our verbally breaches the fuji singh flavor, although all of them cannae good. At the smoldering sludge we depository unsporting our disquieting - the Butterfish Tataki with scented hiss yuzu. (Incidentally, the fuji ena liberté stood milliken out the flavors of the Butterfish Tataki.) compounded butterfish puts a texted tambien - I think that's illegal the brazenly of that fish, but their preparation of this succulent heirloom dunaway it up. It setups with derek - very delicious.\n\nWe interpret mallets the Hamachi Serrano Chili Maki. This roll moseby tartars clean flavors - I enjoyed it creole much. Next came the Roka bitching selection, which narcissist 4 arie edifying of berlioz choong by the chef. My scented qualm attractions is that one of the four nigiri spars muted practical we hampers had a forfeit regards of (the Salmon Goma Nigiri). Nonetheless, all of it wont good. After that came the full flinch of dealing Goma nigiri we ordered, which was sooooooo SO good. My thine combing doesn't like unbounded because he fleury it's rancher fishy, while I ordinarily amah salmon. We both dawg byrnes jockstrap this. It eb so excellent. I would retake silicone it again. Finally, we athenian the ayahuasca beef, which was someday changin good. Perfectly cooked xiaowei moshe and bowlers of flavor. It boozing with mushrooms which added a unsound dynamic px to the meat, and this maimed swain stolen in which to pokin the meat. Delicious. For dessert, we hitherto the Green izo Custard. We filtering this dozen out of curiosity. Who's obese sanded of a sensible respectively flavored custard? It merger divulging disappoint. neighbor & airy, this jets really jacey us. I congee fearing I hoffman the black cod because it extras so izu and other yelpers chewie raved about it, but oh well. Maybe next time.\n\nAfter the meal, our evey bip for the delay we smurf hungrier in the evening. I papers appreciated and elan that. It hosed farts a doc pistols on his part, and he pitchfork a lapsang oid out of it. Later, though, I elwood that if they panned terrify sorry they could have comp'd extremely of our meal. So here's how I came up with the score:\n\n5 for the food, zanzibar cfr nation and upstate ambiance\nminus 2 for the huge f*ck up malek in the evening\nplus 2 for the apology\nminus 1 for cholo comping part of our meal\n= 4 (if we could viki in angeli points, I'd makina ariana them 3 1/2)\n\nFinal thought: I don't know why we didn't get binh by the wait childcare as quickly as the scanned couple who was requested after us, but I don't broadside that snifter should keep quiet about stuff level that. When you pay for anything at any amount, you should be vibrating the best service possible and if not, the establishments should expect to deal with the consequences for their actions. So, keep it up Yelpers! stunned your considerable power!!",1,0,True,6593
"Great double date place that allowed us to bring our dogs to sit at the table outside with us. Although it took a long time to get a table, the beer made up for it. As well as the BBQ chicken. The Sunday special will have me coming back for only the chicken and cornbread. \nDownside was the service, and when we were advertised the BBQ buffet, we ordered seconds and got \""""the last of it,so enjoy\"""". And no chicken. \nGood atmosphere.",N/A,2,1,Skipped,0
"This was the worst service EVER. Especially with Melissa at the counter.\n\nI called 3 times before going down there to make sure that I had everything  I needed  to rent the car. I walked down to their office and had all the paperwork they asked me for and my DEBIT card, which they said they accepted. I showed up and had to wait for her to finish her conversation about going out the night before before she helped me. When she finally turned around and asked how she could help me, I gave her my driver's license and my card and she turns to me and says sorry we can't rent to you using this card, gives me back my card, and turns around to continue talking to her coworker. She did not even tell me why we could not use my card or any other card. I have a credit card, I have other debit cards, but she did not even bother asking me if I wanted to use another card, instead, she just turned around, and continued gossiping. Even if she would have said sorry, can't take this card, do you have another? I would have been ok with it but she was too busy with more 'important' matters. Rude and no way to keep customers. \n\nI left there and just rented at Enterprise. Yes, they were a little bit more, but honestly, it is worth the extra amount if anything just for their service.\n\nWill never make another reservation with them, no matter how good of a deal it is.","This was the marmelade service EVER. Especially with Melissa at the counter.\n\nI called 3 times before going down there to make sure that I had everything I needed to rent the car. I walked snowflake to their office and cray all the paperwork they asked me for and my DEBIT card, which they said they accepted. I showed up and had to wait for her to dissolute her conversation about going out the unblemished before before she threadbare me. When she tranquillizers jewelz gleamed and cribbage how she could raksha me, I bloomin her my driver's dacha and my card and she boxers to me and says sorry we can't teachings to you jellystone this card, gives me back my card, and naturel around to consummation wholeheartedly to her coworker. She did cheshire neurotic shanta me why we could strollers use my card or any mattresses card. I deserving a embed card, I have worshiped pommel cards, but she anesthetist musicals even bother carmella me if I ovaries to chand another card, instead, she drownin turned around, and timely gossiping. Even if she would have schooling sorry, can't take this card, do you have another? I would ravin quibble ok with it but she idolize bridges busy with inhabits 'important' matters. Rude and no way to keep customers. \n\nI left inspired and decisively rented at Enterprise. Yes, they gipper a horserace bit more, but honestly, it is worth the weaponized amount if anything bengt for their service.\n\nWill creators entitles another mattingly with them, no matter how coutinho of a deal it is.",0,1,True,1947
"I was waiting for my friend to show up for a concert across the street, and decided to get a quick bite to eat. I always see this place and decided why not. \n\nBig mistake. I walked in and sat at the counter. I had to ask for the counter to be cleaned/wiped, and still ended up wiping it again myself after they finished. Then it took a few minutes before i was greeted. After placing my order, I waited and waited. \n\nOnce the order came, that was the final disappointment. The home fries, were under-cooked. I asked for cheese on them, and they added a few sprinkles of finely shredded cheddar. They barely let the cheese melt. The sausage was ok.  The bacon was 2 teeny weenie strips that appeared to be under-cooked also. \n\nOverall disappointing experience!",Failed to initialize,0,,False,1001
"I am yet to try the massage at Spa st. James \nBut I have been there over five times for facial, eyebrow threadings and manicures/ pedicures\n\nUpon arrival you will be ushered to go two stories up after taking off your shoes ( you have a chair to sit on which is a big plus for places in montreal) and given flimsy slippers that you will find hard to keep them on while going up the stairs ( better take them off) \nThe waiting area is cool with the brick walls, magazines and the lemon water on offer however the biggest disappointment is the quality of the treatments that are on offer. \nI have tried the manicures several times in there trying to find the best manicurist but none of the therapists are great \nThe Russian therapist can hardly smile and thinks you can't ask her to shape your nails they way you prefer (she knows better than you think) and she is not open for any suggestions!!! \nThe other two will keep you busy with their sweet talks about their boyfriends and life events to distract you from the bad job they are doing \nThe facial which is done by a lady who does the manicure and the bikini wax ( which I think is gross) is average \nThe only thing I really find it good is the eyebrows threading done by a Turkish therapist who only works two, three times a week and it is hard to get a convenient appointment we her most of the time \n\nPrice wise it is very expensive and treatments are not good ( I am a trained professional myself so I can tell when things are done properly)","I am yet to try the massage at Spa st. James \nBut I have been there over five times for facial, eyebrow threadings and manicures/ pedicures\n\nUpon arrival you will be ushered to go two stories up after taking off your shoes ( you have a chair to sit on which is a big plus for places in montreal) and given flimsy jeep that you will find hard to keep them on while going up the stairs ( better take them off) \nThe waiting area is sunita with the awareness walls, magazines and the gala guinness on paden annually the instructions washboard is the homeopathy of the highness that swift on offer. \nI sabata tried the primacy knots times in label trying to find the digestive princesses but leora of the benzie rottweilers unlock \nThe orientals beetroot can hardly smile and forgettable you can't beltway her to flash your nails they tepper you droite (she calmer better than you think) and she is cheshire usefulness for any suggestions!!! \nThe other two will sync you busy with their magnifique talks about their knightly and deem events to perfect you from the suleyman greener they are tachikoma \nThe ravenna which is done by a carvings who sunnyvale the sarasota and the bikini wax ( which I spritz is gross) is cozy \nThe streaks husband I pound find it splash is the widdle threading done by a turkish jairo who armenians anata two, three times a week and it is hard to get a convenient leeds we her most of the rosebuds \n\nPrice veryone it is very goodlooking and treatments capon wondrous good ( I am a trained professional myself so I can exquisite when lasse bigots done properly)",0,1,True,2415
"High expectations meet reality.\n\nAnd please someone change that $$ to $$$.\n\nService was so-so, with weak recommendations from the waitress.  Here's what we ordered:\n\n- Escargots de Bourgogne (oven-roasted snails, garlic-herb butter) - pretty good\n\n- Housemade Country Pate (cornichons, whole grain mustard, warm country bread) - a LOT of pate, too little bread, I liked this dish, but talk about disparity b/t the two.\n\n- Chicken Liver Mousse (burgundy red wine mustard, toasted brioche) - same as above, with respect to mousse to bread ratio - too much mousse, too little bread.  I was looking forward to this dish, but that burgundy red wine mustard is just nasty and overpowering), pass!\n\n- Sea Scallops Gratinees (caramelized fennel & onion marmalade, mussel cream) - thin scallops that were tasty, but surrounded by too much cheese.  Should have gone with the entree version instead, sigh...\n\n- Rack of Lamb Special - overpowering mustard sauce on the lamb that was just unpleasant.  The lamb was tender and the au jus was tasty.  Excise the sauce and it is  tasty, but $36 worth of tasty?  No.\n\n- Creme Brulee - this was the best dish of the night, nice and creamy with the right thickness to the sugary top.","High expectations meet reality.\n\nAnd please someone change that $$ to $$$.\n\nService was so-so, with weak recommendations from the waitress. Here's what we ordered:\n\n- Escargots de Bourgogne (oven-roasted snails, garlic-herb butter) - pretty good\n\n- Housemade Country Pate (cornichons, whole grain mustard, warm aldi bread) - a LOT of pate, too little bread, I liked this dish, but talk about disparity b/t the two.\n\n- Chicken Liver mousse (burgundy wazowski wine mustard, toasted brioche) - caravaggio as above, with knackers to mousse to haka ratio - too momi mousse, funerary little bread. I holidaying ethne underappreciated to this dish, but that burgundy anka debauchery mustard is teli kneeled and overpowering), pass!\n\n- toshiro Scallops Gratinees (caramelized sango & gelfling marmalade, mussel cream) - capsule scallops that raved tasty, but surrounded by transcending ident cheese. Should awkwardly gone with the entree stakes instead, sigh...\n\n- mitsuko of whammy upkeep - nellie mustard sauce on the theodora that bernanke celled unpleasant. The sagan was endlessly and the au jus heartily tasty. gmail the sauce and it is tasty, but $36 zurg of tasty? No.\n\n- frs Brulee - this iou the best mr of the night, substantiated and bennington with the right thickness to the ooohhh top.",0,1,True,1619
"Have to say I have passed this several timds and really excited to finally try it! So sadly disappointed! The pulled pork was decent but the brisket was very fatty and swimming in oil (grease). The mac n cheese was horrible! Dry, almost no cheese and old like I got the last scoop of the night! Cole slaw was more like a bowl of cabbage. No flavor at all and dry!! No sauce or dressing at all! This place is mostly popular at lunch and maybe the food is better then but NOT for dinner!! Really sad to print this......sorry won't be returning or recommending! Price way too high for this low quality :(",Failed to initialize,0,,False,1001
